"","Estimate","Std. Error","t value","Pr(>|t|)","module","maxtime"
"M00001",0.0561540197442137,0.00395388473414804,14.2022399538446,5.05187293448642e-40,"M00001","24month"
"M00002",0.0472524751988026,0.00413068001808027,11.439393754049,1.02731408030991e-27,"M00002","24month"
"M00003",0.0105318465506836,0.0045119127745138,2.33423097409469,0.0198901951464537,"M00003","24month"
"M00006",-0.0131931442984646,0.00450103483082613,-2.93113579306453,0.00349697749434523,"M00006","3month"
"M00007",0.0212493821334934,0.00445291470330057,4.77201643178637,2.25862105632669e-06,"M00007","24month"
"M00016",0.0167356720487501,0.0044827091732672,3.73338340763972,0.000205646150605935,"M00016","24month"
"M00018",0.0231277448716898,0.00443835713316589,5.21087965158693,2.53390532815043e-07,"M00018","24month"
"M00026",0.0297981907931446,0.00437616452133315,6.80920259004954,2.25281883930303e-11,"M00026","24month"
"M00035",0.0217433773833817,0.00444921012697404,4.88701966480726,1.29366483700277e-06,"M00035","12month"
"M00039",-0.00941588218955408,0.00451574175348159,-2.08512415093147,0.0374512782335319,"M00039","24month"
"M00045",0.0256408381044911,0.00441686579929267,5.80521104095969,1.00947480103862e-08,"M00045","AB"
"M00048",0.0132211666670798,0.00450090715106808,2.93744488018207,0.00342753957705746,"M00048","24month"
"M00051",0.0131763061884115,0.00450111141913706,2.92734504024732,0.00353931323553156,"M00051","24month"
"M00053",0.0122793327809881,0.00450504817120921,2.72568290378396,0.00659130917007124,"M00053","12month"
"M00059",-0.0107402600228459,0.00451114982385663,-2.3808253864785,0.0175636941847977,"M00059","3month"
"M00061",0.0208975574967519,0.004455499378823,4.69028401082896,3.33299429761957e-06,"M00061","12month"
"M00115",0.0114979211429836,0.00450824907049825,2.55041834716397,0.0109896817867283,"M00115","3month"
"M00119",0.0101295565418211,0.00451334283260467,2.24435787785598,0.0251481806800498,"M00119","24month"
"M00121",0.0181109603048209,0.00447440109154234,4.04768368643903,5.80178900046663e-05,"M00121","AB"
"M00125",0.0312492770619902,0.00436041985924577,7.16657525438283,2.11266038955291e-12,"M00125","24month"
"M00127",0.0111699888515103,0.00450952907132297,2.47697457425047,0.0135057562651309,"M00127","12month"
"M00133",0.016504945315135,0.00448403732055576,3.68082246761704,0.000251957463343829,"M00133","12month"
"M00142",0.0224365569307529,0.00444386284504096,5.0488860059645,5.79180561192756e-07,"M00142","3month"
"M00144",0.0187486323147586,0.00447032076258172,4.1940239438055,3.12461867483152e-05,"M00144","12month"
"M00148",-0.00953299971525504,0.00451536017940115,-2.11123793817027,0.0351365760054599,"M00148","AB"
"M00157",-0.0155315297825505,0.00448943362780382,-3.45957442969223,0.000576735184963106,"M00157","3month"
"M00159",0.0242044549883593,0.00442943324338696,5.46445869220312,6.64294657855795e-08,"M00159","AB"
"M00164",-0.0155315297825505,0.00448943362780382,-3.45957442969223,0.000576735184963106,"M00164","3month"
"M00171",0.0112033361577285,0.00450940061649834,2.48444019738219,0.0132285408151919,"M00171","24month"
"M00174",0.0105380504070954,0.00451189028144698,2.33561761251779,0.0198172446229319,"M00174","AB"
"M00178",0.0171355651126632,0.00448036261042595,3.82459336500759,0.000143726559737288,"M00178","24month"
"M00185",0.018970805626891,0.00446886505793042,4.24510594546272,2.5064534527528e-05,"M00185","24month"
"M00193",0.0110746840744803,0.0045098940572045,2.45564173659215,0.0143264525730842,"M00193","3month"
"M00194",0.025833207800322,0.00441512487255741,5.85107070490588,7.77614931178721e-09,"M00194","24month"
"M00197",0.0470229069686091,0.00413474593949642,11.3726230478713,1.94511935432961e-27,"M00197","24month"
"M00198",0.0148094331912443,0.0044932209659992,3.29595034459895,0.00103474807847886,"M00198","3month"
"M00200",-0.00927278774194436,0.00451620151657685,-2.05322718835914,0.0404539332547957,"M00200","24month"
"M00207",0.0285005291193283,0.00438956580881555,6.49279002995941,1.68424048945475e-10,"M00207","24month"
"M00219",0.00915436442623688,0.00451657665213052,2.02683694561426,0.0430905972395499,"M00219","AB"
"M00233",0.0141422842294956,0.00449655724453277,3.14513603639558,0.0017365322169169,"M00233","3month"
"M00237",0.0133827395594243,0.00450016561245913,2.97383267904028,0.00305102775956784,"M00237","3month"
"M00239",-0.00945895781674517,0.00451560196330607,-2.09472798834108,0.0365853095742467,"M00239","3month"
"M00245",0.0272336369508726,0.00440203697979235,6.18659885773092,1.09321615706747e-09,"M00245","24month"
"M00246",0.0123739293127761,0.00450464623819622,2.74692587574445,0.00618388429057491,"M00246","AB"
"M00260",0.00929380163904793,0.00451613444279649,2.05791075459946,0.0400006182030907,"M00260","AB"
"M00276",0.0122628597998856,0.00450511784459239,2.721984246118,0.00666467021999903,"M00276","AB"
"M00277",0.0144333794699958,0.00449512074722042,3.21089916859758,0.00138903990521694,"M00277","AB"
"M00285",-0.0136008694978565,0.00449915001884484,-3.02298643985838,0.00260237830600841,"M00285","AB"
"M00287",0.0125172961317684,0.0045040311349396,2.77913179477527,0.00560944237696859,"M00287","3month"
"M00299",0.0185753981021258,0.00447144359026944,4.1542284336425,3.70418655576407e-05,"M00299","AB"
"M00310",0.0168920584310461,0.00448179824497088,3.7690358886639,0.00017893098389517,"M00310","24month"
"M00311",0.0184601662235389,0.00447218454556758,4.12777380616705,4.14459586287945e-05,"M00311","12month"
"M00319",0.00956256546350223,0.00451526310207669,2.11783128631068,0.0345718838966281,"M00319","AB"
"M00331",0.00911235178318134,0.00451670857159978,2.01747614191407,0.0440601728589215,"M00331","3month"
"M00335",0.0236895512778935,0.00443375371752963,5.34300116495707,1.26998012334985e-07,"M00335","3month"
"M00342",0.0106485174818199,0.00451148752875347,2.36031185145758,0.018556750296364,"M00342","3month"
"M00348",0.027761293726796,0.00439691594983184,6.3138104170169,5.07245200260892e-10,"M00348","24month"
"M00358",0.0136711303039453,0.00449881934508335,3.03882624646535,0.00247122606922906,"M00358","24month"
"M00359",0.0182932353246045,0.00447324953913416,4.08947347215181,4.87130377767941e-05,"M00359","24month"
"M00360",0.01146050593888,0.00450839700155481,2.54203565811254,0.0112540450861039,"M00360","24month"
