,Variable,Feature,Value,Coefficient,N,N.not.0,P.value,Q.value,Measure,is_filtered
1,age_any_formula,ko02060,age_any_formula,-0.000139291,654,654,0.019678258,0.120581669,pwy,unfiltered
2,age_any_formula,ko05150,age_any_formula,-6.39E-05,654,654,0.023498841,0.141731228,pwy,unfiltered
3,age_any_formula,ko00720,age_any_formula,2.55E-05,654,654,0.045848472,0.244525182,pwy,unfiltered
1,age_any_formula,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified,age_any_formula,0.001329609,646,193,0.016707728,0.143385173,tax,unfiltered
1,age_any_formula,M00194,ageanyformula,-0.000298788,518,510,0.010409828,0.104098284,module,filtered
1,age_any_formula,ko02060,ageanyformula,-0.000194829,518,518,0.009773525,0.091021264,pwy,filtered
2,age_any_formula,ko00720,ageanyformula,4.38E-05,518,518,0.010288532,0.094991535,pwy,filtered
3,age_any_formula,ko05150,ageanyformula,-8.57E-05,518,518,0.022283661,0.189411118,pwy,filtered
1,age_any_formula,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,ageanyformula,-0.001817181,518,417,0.020525504,0.178973095,tax,filtered
2,age_any_formula,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__Streptococcus_parasanguinis_unclassified,ageanyformula,-0.001817181,518,417,0.020525504,0.178973095,tax,filtered
1,Antibiotics_before_3_months,M00317,Antibiotics_before_3_months1,0.014233748,654,451,8.96E-05,0.001015231,module,unfiltered
2,Antibiotics_before_3_months,M00232,Antibiotics_before_3_months1,0.012429065,654,469,0.001469037,0.014851363,module,unfiltered
3,Antibiotics_before_3_months,M00178,Antibiotics_before_3_months1,-0.010222888,654,654,0.001596235,0.01591921,module,unfiltered
4,Antibiotics_before_3_months,M00324,Antibiotics_before_3_months1,0.014121014,654,619,0.001855553,0.01825864,module,unfiltered
5,Antibiotics_before_3_months,M00229,Antibiotics_before_3_months1,0.011166204,654,495,0.001915914,0.018604535,module,unfiltered
6,Antibiotics_before_3_months,M00002,Antibiotics_before_3_months1,-0.007259936,654,654,0.002831171,0.026539248,module,unfiltered
7,Antibiotics_before_3_months,M00260,Antibiotics_before_3_months1,0.012883521,654,431,0.002876883,0.026539248,module,unfiltered
8,Antibiotics_before_3_months,M00012,Antibiotics_before_3_months1,0.015029748,654,586,0.00380014,0.034236666,module,unfiltered
9,Antibiotics_before_3_months,M00310,Antibiotics_before_3_months1,-0.004605387,654,367,0.003804074,0.034236666,module,unfiltered
10,Antibiotics_before_3_months,M00025,Antibiotics_before_3_months1,0.013337816,654,624,0.007469619,0.064099754,module,unfiltered
11,Antibiotics_before_3_months,M00278,Antibiotics_before_3_months1,0.010539142,654,381,0.007592325,0.064403861,module,unfiltered
12,Antibiotics_before_3_months,M00150,Antibiotics_before_3_months1,0.011843111,654,492,0.007736734,0.064883065,module,unfiltered
13,Antibiotics_before_3_months,M00064,Antibiotics_before_3_months1,0.013384533,654,617,0.008407824,0.068944154,module,unfiltered
14,Antibiotics_before_3_months,M00011,Antibiotics_before_3_months1,0.013880941,654,560,0.008939104,0.071707157,module,unfiltered
15,Antibiotics_before_3_months,M00359,Antibiotics_before_3_months1,-0.017346012,654,639,0.009408687,0.074662487,module,unfiltered
16,Antibiotics_before_3_months,M00009,Antibiotics_before_3_months1,0.013998813,654,559,0.010937133,0.084079206,module,unfiltered
17,Antibiotics_before_3_months,M00121,Antibiotics_before_3_months1,0.009773465,654,641,0.018652856,0.132363535,module,unfiltered
18,Antibiotics_before_3_months,M00336,Antibiotics_before_3_months1,0.004376153,654,438,0.020313498,0.142774869,module,unfiltered
19,Antibiotics_before_3_months,M00149,Antibiotics_before_3_months1,0.011087101,654,521,0.028490109,0.186068148,module,unfiltered
20,Antibiotics_before_3_months,M00311,Antibiotics_before_3_months1,-0.012584279,654,500,0.029566281,0.191402769,module,unfiltered
21,Antibiotics_before_3_months,M00051,Antibiotics_before_3_months1,-0.005642792,654,654,0.039086818,0.244458232,module,unfiltered
22,Antibiotics_before_3_months,M00019,Antibiotics_before_3_months1,0.016092949,654,495,0.039571305,0.245408596,module,unfiltered
2,Antibiotics_before_3_months,M00336,Antibiotics_before_3_months1,0.003743286,518,309,0.001428477,0.015823129,module,filtered
3,Antibiotics_before_3_months,M00229,Antibiotics_before_3_months1,0.003172093,518,363,0.015296554,0.146846916,module,filtered
4,Antibiotics_before_3_months,M00121,Antibiotics_before_3_months1,0.008022193,518,506,0.021562034,0.199034158,module,filtered
4,Antibiotics_before_3_months,ko00562,Antibiotics_before_3_months1,-0.003466104,654,654,4.18E-05,0.000472303,pwy,unfiltered
5,Antibiotics_before_3_months,ko02010,Antibiotics_before_3_months1,0.004249872,654,654,0.000184756,0.001934899,pwy,unfiltered
6,Antibiotics_before_3_months,ko00791,Antibiotics_before_3_months1,0.004457425,654,653,0.000324229,0.003276419,pwy,unfiltered
7,Antibiotics_before_3_months,ko05100,Antibiotics_before_3_months1,0.002271357,654,651,0.000474079,0.0045894,pwy,unfiltered
8,Antibiotics_before_3_months,ko00633,Antibiotics_before_3_months1,0.008889105,654,654,0.001367407,0.012602026,pwy,unfiltered
9,Antibiotics_before_3_months,ko01053,Antibiotics_before_3_months1,0.008151966,654,654,0.001689171,0.015322243,pwy,unfiltered
10,Antibiotics_before_3_months,ko00521,Antibiotics_before_3_months1,-0.007532185,654,654,0.002085652,0.018341002,pwy,unfiltered
11,Antibiotics_before_3_months,ko00340,Antibiotics_before_3_months1,-0.005405392,654,654,0.002177606,0.018680179,pwy,unfiltered
12,Antibiotics_before_3_months,ko00250,Antibiotics_before_3_months1,-0.003502531,654,654,0.002453737,0.020483368,pwy,unfiltered
13,Antibiotics_before_3_months,ko00750,Antibiotics_before_3_months1,-0.004406862,654,654,0.003105972,0.025557709,pwy,unfiltered
14,Antibiotics_before_3_months,ko00130,Antibiotics_before_3_months1,0.005804061,654,654,0.003301512,0.026974055,pwy,unfiltered
15,Antibiotics_before_3_months,ko00910,Antibiotics_before_3_months1,0.002942754,654,654,0.003326505,0.02698686,pwy,unfiltered
16,Antibiotics_before_3_months,ko04112,Antibiotics_before_3_months1,-0.002210408,654,654,0.003350619,0.026992402,pwy,unfiltered
17,Antibiotics_before_3_months,ko00310,Antibiotics_before_3_months1,0.007968463,654,653,0.004207443,0.033198453,pwy,unfiltered
18,Antibiotics_before_3_months,ko02020,Antibiotics_before_3_months1,0.005032261,654,654,0.00444295,0.034818219,pwy,unfiltered
19,Antibiotics_before_3_months,ko00380,Antibiotics_before_3_months1,0.002355872,654,654,0.00472923,0.036564246,pwy,unfiltered
20,Antibiotics_before_3_months,ko05111,Antibiotics_before_3_months1,0.00189739,654,649,0.004863441,0.037351227,pwy,unfiltered
21,Antibiotics_before_3_months,ko00623,Antibiotics_before_3_months1,0.009035536,654,259,0.005137552,0.039195096,pwy,unfiltered
22,Antibiotics_before_3_months,ko00450,Antibiotics_before_3_months1,-0.002815143,654,654,0.007356311,0.055029031,pwy,unfiltered
23,Antibiotics_before_3_months,ko01040,Antibiotics_before_3_months1,0.003667739,654,654,0.008439543,0.062198635,pwy,unfiltered
24,Antibiotics_before_3_months,ko00362,Antibiotics_before_3_months1,0.001797036,654,654,0.008476724,0.062198635,pwy,unfiltered
25,Antibiotics_before_3_months,ko00564,Antibiotics_before_3_months1,0.002810276,654,654,0.009232133,0.066889414,pwy,unfiltered
26,Antibiotics_before_3_months,ko00052,Antibiotics_before_3_months1,0.002468579,654,654,0.009729781,0.069189552,pwy,unfiltered
27,Antibiotics_before_3_months,ko03010,Antibiotics_before_3_months1,-0.005573924,654,654,0.010301318,0.072360478,pwy,unfiltered
28,Antibiotics_before_3_months,ko03020,Antibiotics_before_3_months1,-0.001747652,654,654,0.010376863,0.072449369,pwy,unfiltered
29,Antibiotics_before_3_months,ko00140,Antibiotics_before_3_months1,-0.00268013,654,587,0.011462268,0.078598409,pwy,unfiltered
30,Antibiotics_before_3_months,ko03070,Antibiotics_before_3_months1,0.002791076,654,654,0.012378536,0.083392244,pwy,unfiltered
31,Antibiotics_before_3_months,ko00640,Antibiotics_before_3_months1,0.001674594,654,654,0.012559305,0.084013721,pwy,unfiltered
32,Antibiotics_before_3_months,ko00970,Antibiotics_before_3_months1,-0.004286982,654,654,0.013246885,0.087703515,pwy,unfiltered
33,Antibiotics_before_3_months,ko00670,Antibiotics_before_3_months1,-0.002132616,654,654,0.014647168,0.095330724,pwy,unfiltered
34,Antibiotics_before_3_months,ko02030,Antibiotics_before_3_months1,0.009798865,654,624,0.015856729,0.101483066,pwy,unfiltered
35,Antibiotics_before_3_months,ko03018,Antibiotics_before_3_months1,-0.001625951,654,654,0.016205042,0.103139275,pwy,unfiltered
36,Antibiotics_before_3_months,ko00290,Antibiotics_before_3_months1,-0.005367259,654,654,0.019427645,0.120326057,pwy,unfiltered
37,Antibiotics_before_3_months,ko04122,Antibiotics_before_3_months1,0.004078135,654,654,0.0216153,0.131750401,pwy,unfiltered
38,Antibiotics_before_3_months,ko00071,Antibiotics_before_3_months1,0.002456837,654,654,0.022502651,0.136437126,pwy,unfiltered
39,Antibiotics_before_3_months,ko00410,Antibiotics_before_3_months1,0.010071945,654,443,0.02450598,0.145520046,pwy,unfiltered
40,Antibiotics_before_3_months,ko00531,Antibiotics_before_3_months1,-0.005326318,654,634,0.025171574,0.146452793,pwy,unfiltered
41,Antibiotics_before_3_months,ko00480,Antibiotics_before_3_months1,0.002398701,654,654,0.027277435,0.155699566,pwy,unfiltered
42,Antibiotics_before_3_months,ko00030,Antibiotics_before_3_months1,-0.001922018,654,654,0.027499071,0.155699566,pwy,unfiltered
43,Antibiotics_before_3_months,ko00400,Antibiotics_before_3_months1,-0.002656574,654,654,0.027571798,0.155699566,pwy,unfiltered
44,Antibiotics_before_3_months,ko02040,Antibiotics_before_3_months1,0.008584427,654,654,0.033230097,0.184043612,pwy,unfiltered
45,Antibiotics_before_3_months,ko00983,Antibiotics_before_3_months1,-0.001851135,654,651,0.034739243,0.191481379,pwy,unfiltered
46,Antibiotics_before_3_months,ko00260,Antibiotics_before_3_months1,-0.001679136,654,654,0.034972448,0.191848856,pwy,unfiltered
47,Antibiotics_before_3_months,ko04621,Antibiotics_before_3_months1,0.001788038,654,462,0.035408875,0.193322391,pwy,unfiltered
48,Antibiotics_before_3_months,ko02060,Antibiotics_before_3_months1,0.006394774,654,654,0.041798998,0.225220274,pwy,unfiltered
4,Antibiotics_before_3_months,ko02020,Antibiotics_before_3_months1,0.002184465,518,518,0.011878158,0.107809382,pwy,filtered
5,Antibiotics_before_3_months,ko00362,Antibiotics_before_3_months1,0.002047559,518,518,0.020215946,0.173210222,pwy,filtered
3,Antibiotics_before_3_months,k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales,Antibiotics_before_3_months1,0.071700115,518,104,0.002311579,0.022877942,tax,filtered
4,Antibiotics_before_3_months,k__Viruses|p__Viruses_noname,Antibiotics_before_3_months1,0.072076652,518,155,0.003193218,0.031202303,tax,filtered
5,Antibiotics_before_3_months,k__Viruses,Antibiotics_before_3_months1,0.070854133,518,155,0.003623146,0.034633675,tax,filtered
6,Antibiotics_before_3_months,k__Viruses|p__Viruses_noname|c__Viruses_noname,Antibiotics_before_3_months1,0.070854133,518,155,0.003623146,0.034633675,tax,filtered
7,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,Antibiotics_before_3_months1,0.089449544,518,104,0.009706916,0.089454757,tax,filtered
8,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis|t__Roseburia_intestinalis_unclassified,Antibiotics_before_3_months1,0.089449544,518,104,0.009706916,0.089454757,tax,filtered
9,Antibiotics_before_3_months,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_unclassified,Antibiotics_before_3_months1,0.05926475,518,95,0.019239705,0.169684276,tax,filtered
10,Antibiotics_before_3_months,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,Antibiotics_before_3_months1,0.075404648,518,84,0.019646882,0.172288046,tax,filtered
11,Antibiotics_before_3_months,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__Bifidobacterium_dentium_unclassified,Antibiotics_before_3_months1,0.075404648,518,84,0.019646882,0.172288046,tax,filtered
