Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Antibiotics_before_3_months	M00336	Antibiotics_before_3_months1	0.00374328569296061	518	309	0.00142847691443516	0.0158231288983587
Antibiotics_before_3_months	M00229	Antibiotics_before_3_months1	0.00317209342996848	518	363	0.0152965537483482	0.146846915984143
Antibiotics_before_3_months	M00121	Antibiotics_before_3_months1	0.00802219283107703	518	506	0.0215620338046399	0.199034158196676
Antibiotics_before_3_months	M00230	Antibiotics_before_3_months1	0.00182941033099806	518	342	0.0301434980698089	0.27129148262828
Antibiotics_before_3_months	M00150	Antibiotics_before_3_months1	0.00512860955387691	518	359	0.0338465147157711	0.293608320425967
Antibiotics_before_3_months	M00319	Antibiotics_before_3_months1	0.00848565776251102	518	260	0.0399944945673167	0.338776895158447
Antibiotics_before_3_months	M00060	Antibiotics_before_3_months1	0.00588992081187136	518	418	0.0451321966589336	0.373507834418761
Antibiotics_before_3_months	M00025	Antibiotics_before_3_months1	0.0114136992272231	518	489	0.0462972535252541	0.37879571066117
Antibiotics_before_3_months	M00324	Antibiotics_before_3_months1	0.00589469810905263	518	484	0.0475647695598298	0.384793641382893
Antibiotics_before_3_months	M00061	Antibiotics_before_3_months1	-0.0110426332622871	518	480	0.0605846887711791	0.46904275177687
Antibiotics_before_3_months	M00117	Antibiotics_before_3_months1	0.00290338603550043	518	337	0.0692718922963666	0.525008025825094
Antibiotics_before_3_months	M00225	Antibiotics_before_3_months1	0.000821149266455295	518	340	0.0725597215298804	0.538587623726947
Antibiotics_before_3_months	M00317	Antibiotics_before_3_months1	0.00556422429350135	518	329	0.111428628237856	0.76408202220244
Antibiotics_before_3_months	M00232	Antibiotics_before_3_months1	0.00158760742864305	518	335	0.114416749425653	0.777170373457268
Antibiotics_before_3_months	M00115	Antibiotics_before_3_months1	-0.0116075216335849	518	513	0.131016878320236	0.849839210725858
Antibiotics_before_3_months	M00002	Antibiotics_before_3_months1	-0.00312838115013192	518	518	0.136060559396461	0.859329848819753
Antibiotics_before_3_months	M00149	Antibiotics_before_3_months1	0.0053692008921612	518	388	0.145559303304901	0.90347153775456
Antibiotics_before_3_months	M00310	Antibiotics_before_3_months1	-0.0025233038384843	518	299	0.160898509809282	0.973503588762041
Antibiotics_before_3_months	M00260	Antibiotics_before_3_months1	0.00244996674197189	518	301	0.175999176276819	1
Antibiotics_before_3_months	M00016	Antibiotics_before_3_months1	0.00884903080034366	518	517	0.180366153176673	1
Antibiotics_before_3_months	M00124	Antibiotics_before_3_months1	0.00347998019204666	518	395	0.187334348627274	1
Antibiotics_before_3_months	M00019	Antibiotics_before_3_months1	0.0109011231925836	518	361	0.2005638517828	1
Antibiotics_before_3_months	M00009	Antibiotics_before_3_months1	0.00736788815216527	518	424	0.211910603107221	1
Antibiotics_before_3_months	M00277	Antibiotics_before_3_months1	-0.00426714571481147	518	473	0.217264065673936	1
Antibiotics_before_3_months	M00157	Antibiotics_before_3_months1	0.00494656171558804	518	518	0.22296421591835	1
Antibiotics_before_3_months	M00164	Antibiotics_before_3_months1	0.00494656171558804	518	518	0.22296421591835	1
Antibiotics_before_3_months	M00011	Antibiotics_before_3_months1	0.00665317784966171	518	425	0.227137782976964	1
Antibiotics_before_3_months	M00239	Antibiotics_before_3_months1	0.00694436320247741	518	518	0.228765892557895	1
Antibiotics_before_3_months	M00126	Antibiotics_before_3_months1	-0.00806875630021283	518	517	0.232348481646854	1
Antibiotics_before_3_months	M00348	Antibiotics_before_3_months1	0.00278488556409196	518	465	0.247320555472245	1
Antibiotics_before_3_months	M00178	Antibiotics_before_3_months1	-0.00388771878493585	518	518	0.247463272831837	1
Antibiotics_before_3_months	M00012	Antibiotics_before_3_months1	0.00515228977803249	518	452	0.254059509217507	1
Antibiotics_before_3_months	M00045	Antibiotics_before_3_months1	-0.00378484527196615	518	491	0.255756737819791	1
Antibiotics_before_3_months	M00311	Antibiotics_before_3_months1	-0.00778672638383661	518	406	0.258271042170086	1
Antibiotics_before_3_months	M00226	Antibiotics_before_3_months1	0.000372548182887071	518	335	0.284474072798341	1
Antibiotics_before_3_months	M00064	Antibiotics_before_3_months1	0.00558793665114359	518	482	0.297968331120822	1
