Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Any_smoking_during_pregnancy	M00060	Any_smoking_during_pregnancy1	0.0134091622049071	518	418	0.0107274938862569	0.105805419152123
Any_smoking_during_pregnancy	M00349	Any_smoking_during_pregnancy1	0.00255998664699668	518	389	0.0436523971006724	0.365461929214931
Any_smoking_during_pregnancy	M00359	Any_smoking_during_pregnancy1	0.0265675756178737	518	512	0.0518237835110929	0.411556202882318
Any_smoking_during_pregnancy	M00061	Any_smoking_during_pregnancy1	0.0197086549900199	518	480	0.0601787563313099	0.46904275177687
Any_smoking_during_pregnancy	M00348	Any_smoking_during_pregnancy1	0.00781639797534753	518	465	0.0688566509872839	0.525008025825094
Any_smoking_during_pregnancy	M00150	Any_smoking_during_pregnancy1	0.00737980726330507	518	359	0.085268952786993	0.620137838450859
Any_smoking_during_pregnancy	M00225	Any_smoking_during_pregnancy1	0.00136999131277977	518	340	0.0925660801809309	0.666475777302703
Any_smoking_during_pregnancy	M00229	Any_smoking_during_pregnancy1	0.00388895771733357	518	363	0.093898305344827	0.669374057903717
Any_smoking_during_pregnancy	M00336	Any_smoking_during_pregnancy1	0.00336246344993158	518	309	0.104581498475021	0.724025758673221
Any_smoking_during_pregnancy	M00197	Any_smoking_during_pregnancy1	0.0157200357041869	518	518	0.144820186007068	0.90347153775456
Any_smoking_during_pregnancy	M00022	Any_smoking_during_pregnancy1	-0.00748108708992181	518	518	0.198342256126381	1
Any_smoking_during_pregnancy	M00198	Any_smoking_during_pregnancy1	0.00748178561627144	518	484	0.224197389659611	1
Any_smoking_during_pregnancy	M00226	Any_smoking_during_pregnancy1	0.000743660228498957	518	335	0.230705233990756	1
Any_smoking_during_pregnancy	M00360	Any_smoking_during_pregnancy1	0.010036715237785	518	518	0.231675149138645	1
Any_smoking_during_pregnancy	M00049	Any_smoking_during_pregnancy1	-0.0128021754925749	518	518	0.251833671289896	1
Any_smoking_during_pregnancy	M00276	Any_smoking_during_pregnancy1	-0.0137562147721283	518	517	0.252491174127525	1
Any_smoking_during_pregnancy	M00050	Any_smoking_during_pregnancy1	-0.0124302729654484	518	518	0.256075603788722	1
Any_smoking_during_pregnancy	M00035	Any_smoking_during_pregnancy1	0.0168599703936946	518	495	0.267965304842542	1
Any_smoking_during_pregnancy	M00194	Any_smoking_during_pregnancy1	0.0117057936507792	518	510	0.27417528835318	1
Any_smoking_during_pregnancy	M00003	Any_smoking_during_pregnancy1	0.0126047834497017	518	518	0.29456211339828	1
Any_smoking_during_pregnancy	M00278	Any_smoking_during_pregnancy1	0.00219413321057833	518	264	0.304371126667346	1
Any_smoking_during_pregnancy	M00009	Any_smoking_during_pregnancy1	0.0105831147671279	518	424	0.311037514568764	1
Any_smoking_during_pregnancy	M00016	Any_smoking_during_pregnancy1	0.0114852104825166	518	517	0.328674007277247	1
Any_smoking_during_pregnancy	M00310	Any_smoking_during_pregnancy1	0.00310351462864277	518	299	0.332543313711995	1
Any_smoking_during_pregnancy	M00028	Any_smoking_during_pregnancy1	0.0109957695416158	518	517	0.349859626716405	1
Any_smoking_during_pregnancy	M00133	Any_smoking_during_pregnancy1	0.00736288692780426	518	481	0.351454574105387	1
Any_smoking_during_pregnancy	M00144	Any_smoking_during_pregnancy1	0.00506794453248199	518	331	0.354819337031806	1
Any_smoking_during_pregnancy	M00001	Any_smoking_during_pregnancy1	0.00696621135750087	518	518	0.38531688226063	1
Any_smoking_during_pregnancy	M00011	Any_smoking_during_pregnancy1	0.00800150019968121	518	425	0.411808934487527	1
Any_smoking_during_pregnancy	M00185	Any_smoking_during_pregnancy1	0.00770000714723048	518	468	0.421287624474748	1
Any_smoking_during_pregnancy	M00287	Any_smoking_during_pregnancy1	0.00253756909070496	518	388	0.422120881618538	1
Any_smoking_during_pregnancy	M00051	Any_smoking_during_pregnancy1	-0.00378784157295827	518	518	0.423425877373062	1
Any_smoking_during_pregnancy	M00311	Any_smoking_during_pregnancy1	0.00948591055334651	518	406	0.438371985695542	1
Any_smoking_during_pregnancy	M00335	Any_smoking_during_pregnancy1	0.00374883024607961	518	322	0.439978157613353	1
Any_smoking_during_pregnancy	M00019	Any_smoking_during_pregnancy1	0.0114394555890453	518	361	0.449795168255895	1
Any_smoking_during_pregnancy	M00233	Any_smoking_during_pregnancy1	0.0149461163683738	518	465	0.471856415109359	1
Any_smoking_during_pregnancy	M00239	Any_smoking_during_pregnancy1	-0.00728242152147528	518	518	0.477587394484282	1
Any_smoking_during_pregnancy	M00124	Any_smoking_during_pregnancy1	0.00320894882096529	518	395	0.494350119437455	1
Any_smoking_during_pregnancy	M00237	Any_smoking_during_pregnancy1	0.0081506049615951	518	518	0.507471582901574	1
Any_smoking_during_pregnancy	M00230	Any_smoking_during_pregnancy1	0.000967575855362724	518	342	0.51758640936337	1
Any_smoking_during_pregnancy	M00142	Any_smoking_during_pregnancy1	0.00126251212673729	518	361	0.519894079235089	1
Any_smoking_during_pregnancy	M00096	Any_smoking_during_pregnancy1	-0.00716144027206319	518	518	0.529031627880332	1
Any_smoking_during_pregnancy	M00004	Any_smoking_during_pregnancy1	0.00639399815640752	518	518	0.53169597128484	1
Any_smoking_during_pregnancy	M00207	Any_smoking_during_pregnancy1	0.00721636984028463	518	512	0.534430495351099	1
Any_smoking_during_pregnancy	M00178	Any_smoking_during_pregnancy1	0.00359387755861804	518	518	0.546351828688669	1
Any_smoking_during_pregnancy	M00319	Any_smoking_during_pregnancy1	-0.00430919914544934	518	260	0.556401543606251	1
Any_smoking_during_pregnancy	M00260	Any_smoking_during_pregnancy1	0.00189292706013796	518	301	0.556641202853974	1
Any_smoking_during_pregnancy	M00324	Any_smoking_during_pregnancy1	0.00307947634694787	518	484	0.556995035785598	1
Any_smoking_during_pregnancy	M00008	Any_smoking_during_pregnancy1	0.00422348318173719	518	450	0.560930253152997	1
Any_smoking_during_pregnancy	M00299	Any_smoking_during_pregnancy1	-0.007622922461665	518	516	0.565510453332062	1
Any_smoking_during_pregnancy	M00232	Any_smoking_during_pregnancy1	0.000981103171166288	518	335	0.582110441087138	1
Any_smoking_during_pregnancy	M00045	Any_smoking_during_pregnancy1	-0.00319468546842005	518	491	0.590068201802212	1
Any_smoking_during_pregnancy	M00193	Any_smoking_during_pregnancy1	0.00825151282294568	518	512	0.616530149494299	1
Any_smoking_during_pregnancy	M00064	Any_smoking_during_pregnancy1	-0.00457872513464912	518	482	0.630262138245945	1
Any_smoking_during_pregnancy	M00157	Any_smoking_during_pregnancy1	-0.00310286230200318	518	518	0.666578035798187	1
Any_smoking_during_pregnancy	M00164	Any_smoking_during_pregnancy1	-0.00310286230200318	518	518	0.666578035798187	1
Any_smoking_during_pregnancy	M00127	Any_smoking_during_pregnancy1	0.0048577358425061	518	515	0.680826487708102	1
Any_smoking_during_pregnancy	M00121	Any_smoking_during_pregnancy1	0.0023084860031955	518	506	0.708235408849079	1
Any_smoking_during_pregnancy	M00002	Any_smoking_during_pregnancy1	-0.00138478936349033	518	518	0.708461471928574	1
