Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
ageanyformula	M00194	ageanyformula	-0.000298787995606801	518	510	0.0104098283522134	0.104098283522134
ageanyformula	M00276	ageanyformula	-0.000240756894178997	518	517	0.0771450732808564	0.5667801302267
ageanyformula	M00007	ageanyformula	0.000103355815390594	518	518	0.104068787987457	0.724025758673221
ageanyformula	M00049	ageanyformula	-0.000188050832877948	518	518	0.118302018230077	0.796050963791174
ageanyformula	M00050	ageanyformula	-0.000183533159126241	518	518	0.119517660879971	0.796784405866476
ageanyformula	M00045	ageanyformula	-9.61377306741138e-05	518	491	0.153393902336196	0.94396247591505
ageanyformula	M00123	ageanyformula	0.000181761527789369	518	518	0.196470479913235	1
ageanyformula	M00115	ageanyformula	0.000153788021746108	518	513	0.317240867694393	1
ageanyformula	M00096	ageanyformula	-0.000118705793297719	518	518	0.36155457822858	1
ageanyformula	M00064	ageanyformula	9.15333123857915e-05	518	482	0.3949352998128	1
ageanyformula	M00127	ageanyformula	9.8207863690369e-05	518	515	0.462251900335656	1
ageanyformula	M00053	ageanyformula	-6.68115380656529e-05	518	516	0.561433147441599	1
ageanyformula	M00121	ageanyformula	-3.84982715709883e-05	518	506	0.581750328521538	1
ageanyformula	M00028	ageanyformula	6.66575865944987e-05	518	517	0.597587943628265	1
ageanyformula	M00048	ageanyformula	2.5167165985385e-05	518	518	0.683656931280752	1
ageanyformula	M00277	ageanyformula	2.77004029633507e-05	518	473	0.690999973325156	1
ageanyformula	M00035	ageanyformula	-3.11742142357679e-06	518	495	0.98555991576	1
