Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
bfduration	M00017	bfduration	0.000848478506386805	518	518	0.00291652330041493	0.0318166178227083
bfduration	M00207	bfduration	-0.000859892624230006	518	512	0.00871001392702955	0.0887338623110537
bfduration	M00299	bfduration	-0.000668128323146646	518	516	0.071370986205357	0.535282396540178
bfduration	M00018	bfduration	0.000367406538731405	518	518	0.101643639613814	0.717484514921041
bfduration	M00123	bfduration	-0.000554315446192561	518	518	0.127067375626202	0.831713731371505
bfduration	M00127	bfduration	-0.000516956287676775	518	515	0.134432702576535	0.856935757714549
bfduration	M00045	bfduration	-0.000244864212452387	518	491	0.155479722653913	0.94868983314252
bfduration	M00048	bfduration	0.000198932451853563	518	518	0.212343503388048	1
bfduration	M00277	bfduration	-0.000143890632977812	518	473	0.425569174257498	1
bfduration	M00053	bfduration	-0.000172890490109999	518	516	0.559997273049526	1
bfduration	M00115	bfduration	0.00017153405617999	518	513	0.665078490567343	1
bfduration	M00237	bfduration	0.000132259697009609	518	518	0.70026455285725	1
bfduration	M00035	bfduration	0.000158118776998741	518	495	0.722044711939526	1
bfduration	M00121	bfduration	-5.04527988855282e-05	518	506	0.779495137834401	1
bfduration	M00096	bfduration	8.88338137983821e-05	518	518	0.790822472013585	1
bfduration	M00276	bfduration	-5.5654842589361e-05	518	517	0.873713052117846	1
bfduration	M00064	bfduration	-1.33417717908804e-05	518	482	0.961646085903683	1
bfduration	M00324	bfduration	-4.30144359153049e-06	518	484	0.976657320415737	1
bfduration	M00007	bfduration	-4.72872273083212e-06	518	518	0.976734321173251	1
