Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
time	M00310	time	0.00196117013642535	518	299	5.19322532722585e-108	3.73912223560261e-105
time	M00185	time	0.0043654582017202	518	468	2.76918848707532e-78	9.96907855347116e-76
time	M00359	time	0.00492659882509601	518	512	3.57924746519796e-60	8.59019391647511e-58
time	M00026	time	0.00414118284950611	518	487	3.63612820554803e-59	6.54503076998646e-57
time	M00360	time	0.00266575857929779	518	518	3.39357272557677e-49	4.88674472483056e-47
time	M00178	time	0.0016959777430308	518	518	5.51683732120528e-44	6.62020478544633e-42
time	M00348	time	0.00122831174040703	518	465	6.10175465568902e-43	6.27609050299442e-41
time	M00003	time	0.00325803512205328	518	518	4.10152221991751e-41	3.69136999792576e-39
time	M00001	time	0.00216359650044618	518	518	8.16361337656578e-39	6.53089070125262e-37
time	M00245	time	0.00276858157937365	518	431	3.385137804783e-36	2.43729921944376e-34
time	M00016	time	0.00302147749310626	518	517	3.82629673158199e-36	2.50448513339912e-34
time	M00197	time	0.00239391190596581	518	518	4.33412353414333e-33	2.600474120486e-31
time	M00006	time	-0.00280088821720551	518	518	1.26130440367137e-31	6.98568592802604e-30
time	M00002	time	0.000821495570399855	518	518	2.29793073797244e-31	1.18179295095726e-29
time	M00061	time	0.00240707035670503	518	480	1.38274264786939e-30	6.63716470977305e-29
time	M00119	time	0.00246111721413169	518	516	6.67779696388225e-26	3.00500863374701e-24
time	M00019	time	-0.00304203188426752	518	361	4.55072816453514e-25	1.91805989078551e-23
time	M00125	time	0.00258702613282417	518	517	4.79514972696378e-25	1.91805989078551e-23
time	M00126	time	-0.00206850457687364	518	517	6.03982747163168e-25	2.288776726092e-23
time	M00133	time	0.00153417063216463	518	481	2.25197249390363e-23	8.10710097805307e-22
time	M00009	time	-0.00192735272715077	518	424	3.25830240743016e-23	1.03614409186134e-21
time	M00157	time	-0.00136533348796386	518	518	3.30990473789038e-23	1.03614409186134e-21
time	M00164	time	-0.00136533348796386	518	518	3.30990473789038e-23	1.03614409186134e-21
time	M00012	time	-0.00154936083956526	518	452	4.50686422599725e-23	1.35205926779917e-21
time	M00011	time	-0.00170500417964226	518	425	3.1760072103193e-21	9.14690076571957e-20
time	M00004	time	-0.00174160848830208	518	518	3.43237288978305e-19	9.50503261786076e-18
time	M00008	time	-0.0012307810669065	518	450	9.52466777924396e-19	2.53991140779839e-17
time	M00193	time	-0.00253625967468859	518	512	1.62240711717925e-17	4.17190401560379e-16
time	M00150	time	-0.000666697022422912	518	359	7.16918168004206e-17	1.77993476194148e-15
time	M00025	time	-0.00153406609149217	518	489	1.51506573235745e-16	3.63615775765787e-15
time	M00149	time	-0.00102246873852002	518	388	2.2921756537347e-16	5.32376280867415e-15
time	M00017	time	-0.00151040968087838	518	518	1.44096443107325e-15	3.24216996991482e-14
time	M00194	time	0.00147253460283851	518	510	9.89382401481897e-15	2.15865251232414e-13
time	M00230	time	-0.000215459554156023	518	342	2.15556283525556e-14	4.56472129818825e-13
time	M00229	time	-0.000328033188328852	518	363	5.20853324180499e-14	1.07146969545703e-12
time	M00324	time	-0.000688906123712786	518	484	4.27838952976216e-13	8.55677905952433e-12
time	M00022	time	-0.000764094463755243	518	518	1.97127486798642e-12	3.8359943377033e-11
