Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Antibiotics_before_3_months	ko02020	Antibiotics_before_3_months1	0.00218446463245156	518	518	0.0118781578486399	0.107809381829604
Antibiotics_before_3_months	ko00362	Antibiotics_before_3_months1	0.00204755913623965	518	518	0.0202159455604576	0.173210221562001
Antibiotics_before_3_months	ko03440	Antibiotics_before_3_months1	0.00204730371181853	518	518	0.0303664640743993	0.254081898622513
Antibiotics_before_3_months	ko03430	Antibiotics_before_3_months1	0.00205078842963927	518	518	0.0379326690117517	0.296539332201358
Antibiotics_before_3_months	ko00562	Antibiotics_before_3_months1	-0.00186891307669926	518	518	0.0452066434195658	0.340959965509542
Antibiotics_before_3_months	ko00040	Antibiotics_before_3_months1	-0.00404875490607548	518	518	0.0514728797490073	0.377585302816348
Antibiotics_before_3_months	ko00361	Antibiotics_before_3_months1	-0.00166248944429652	518	338	0.0587876649758049	0.41787438309931
Antibiotics_before_3_months	ko01053	Antibiotics_before_3_months1	0.00380514909087455	518	518	0.0840133382848509	0.552014020264265
Antibiotics_before_3_months	ko00531	Antibiotics_before_3_months1	-0.0051184994213978	518	501	0.0858366835019161	0.56055541482044
Antibiotics_before_3_months	ko00312	Antibiotics_before_3_months1	0.000883610410192064	518	470	0.0964121089739449	0.614627194708899
Antibiotics_before_3_months	ko03060	Antibiotics_before_3_months1	0.00219201884217275	518	518	0.104099809057829	0.644456043358008
Antibiotics_before_3_months	ko03030	Antibiotics_before_3_months1	0.00179590539592246	518	518	0.111452653729589	0.682090240825087
Antibiotics_before_3_months	ko00140	Antibiotics_before_3_months1	-0.00193624876201245	518	465	0.116632611645424	0.705726141651126
Antibiotics_before_3_months	ko00130	Antibiotics_before_3_months1	0.00318519947798229	518	518	0.118126235909836	0.710748307075474
Antibiotics_before_3_months	ko00521	Antibiotics_before_3_months1	-0.00446868304605601	518	518	0.128042115573352	0.761850587661444
Antibiotics_before_3_months	ko00380	Antibiotics_before_3_months1	0.00114034024766599	518	518	0.143252471122157	0.82957351879762
Antibiotics_before_3_months	ko00030	Antibiotics_before_3_months1	-0.00147683682662301	518	518	0.144071591499867	0.82957351879762
Antibiotics_before_3_months	ko04141	Antibiotics_before_3_months1	-0.00157681015426948	518	517	0.149002045181314	0.848836119091424
Antibiotics_before_3_months	ko00281	Antibiotics_before_3_months1	-0.00450518448378968	518	470	0.160009551770458	0.87882169203159
