Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Any_smoking_during_pregnancy	ko00450	Any_smoking_during_pregnancy1	0.00419329887077821	518	518	0.0325280264543406	0.265935239180144
Any_smoking_during_pregnancy	ko00625	Any_smoking_during_pregnancy1	0.0214700718356024	518	165	0.033609704735827	0.270168044381042
Any_smoking_during_pregnancy	ko00250	Any_smoking_during_pregnancy1	0.00494079720523539	518	518	0.0405468136220951	0.312414657476718
Any_smoking_during_pregnancy	ko03018	Any_smoking_during_pregnancy1	0.00263748396942135	518	518	0.0415692871336849	0.318005046572689
Any_smoking_during_pregnancy	ko05143	Any_smoking_during_pregnancy1	0.00827479152580115	518	365	0.0429697663985753	0.326387374559391
Any_smoking_during_pregnancy	ko00791	Any_smoking_during_pregnancy1	0.0032149319246711	518	517	0.0511540094146422	0.377585302816348
Any_smoking_during_pregnancy	ko00030	Any_smoking_during_pregnancy1	0.00340769254038169	518	518	0.0591244410955028	0.41787438309931
Any_smoking_during_pregnancy	ko03430	Any_smoking_during_pregnancy1	-0.00325070720319431	518	518	0.0629259857185046	0.437621627951418
Any_smoking_during_pregnancy	ko03010	Any_smoking_during_pregnancy1	0.00682169902010854	518	518	0.0919351826270687	0.589596290979584
Any_smoking_during_pregnancy	ko00650	Any_smoking_during_pregnancy1	-0.00254510384615203	518	518	0.110706498523766	0.681417585741109
Any_smoking_during_pregnancy	ko00290	Any_smoking_during_pregnancy1	0.00651836685496525	518	518	0.114091514923607	0.694272798199907
Any_smoking_during_pregnancy	ko00680	Any_smoking_during_pregnancy1	0.00170353367796775	518	518	0.123329621087578	0.737910749635732
Any_smoking_during_pregnancy	ko00564	Any_smoking_during_pregnancy1	-0.00296833199117182	518	518	0.129681875735251	0.767344137637868
Any_smoking_during_pregnancy	ko00430	Any_smoking_during_pregnancy1	0.0133004477959867	518	457	0.132335933764058	0.778746071765416
Any_smoking_during_pregnancy	ko00600	Any_smoking_during_pregnancy1	0.0091149737575623	518	465	0.135025319508108	0.790230148596632
Any_smoking_during_pregnancy	ko05150	Any_smoking_during_pregnancy1	-0.00508413715143664	518	518	0.143769304665165	0.82957351879762
Any_smoking_during_pregnancy	ko00040	Any_smoking_during_pregnancy1	0.00537278009002687	518	518	0.146271441719328	0.837736438937969
Any_smoking_during_pregnancy	ko00473	Any_smoking_during_pregnancy1	-0.00647757025905791	518	518	0.152239804943335	0.862692228012233
