Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
ageanyformula	ko02060	ageanyformula	-0.000194828832777685	518	518	0.0097735251254545	0.0910212644292328
ageanyformula	ko00720	ageanyformula	4.38393235589498e-05	518	518	0.0102885323169525	0.0949915354435872
ageanyformula	ko05150	ageanyformula	-8.56741108094471e-05	518	518	0.0222836609146418	0.189411117774455
ageanyformula	ko00561	ageanyformula	-6.45514203877736e-05	518	518	0.0404061706470252	0.312414657476718
ageanyformula	ko00240	ageanyformula	-2.45686754621579e-05	518	518	0.0476360443481664	0.356770653824379
ageanyformula	ko00520	ageanyformula	-2.89944696494979e-05	518	518	0.0491413562638028	0.365488837212033
ageanyformula	ko00430	ageanyformula	0.000188729900472313	518	457	0.059306168283002	0.41787438309931
ageanyformula	ko00510	ageanyformula	3.47430667167597e-05	518	518	0.154026061502884	0.863674931254393
ageanyformula	ko00053	ageanyformula	-0.000122877623937393	518	518	0.154886408408949	0.863975746906169
ageanyformula	ko00910	ageanyformula	2.14138409462922e-05	518	518	0.168071090602892	0.90454340721456
ageanyformula	ko00020	ageanyformula	3.56011170487946e-05	518	518	0.171709802339341	0.914970192578642
ageanyformula	ko00521	ageanyformula	7.33962082816574e-05	518	518	0.213836092792887	1
ageanyformula	ko00281	ageanyformula	7.85057885523694e-05	518	470	0.224190576701979	1
ageanyformula	ko00791	ageanyformula	2.20115043629006e-05	518	517	0.238561607070448	1
ageanyformula	ko00190	ageanyformula	1.76068152432157e-05	518	518	0.265814894593096	1
ageanyformula	ko04141	ageanyformula	2.41207153948357e-05	518	517	0.271075969393816	1
ageanyformula	ko00540	ageanyformula	0.000118453929388124	518	518	0.282686661059336	1
ageanyformula	ko00670	ageanyformula	1.33922722388652e-05	518	518	0.316917352663088	1
ageanyformula	ko00650	ageanyformula	-1.80118768258548e-05	518	518	0.317044095973071	1
ageanyformula	ko00361	ageanyformula	1.71700000521458e-05	518	338	0.330071459651404	1
ageanyformula	ko00633	ageanyformula	5.6036534560924e-05	518	518	0.330831659285084	1
ageanyformula	ko00780	ageanyformula	5.9315972935761e-05	518	518	0.338045745939912	1
ageanyformula	ko00562	ageanyformula	-1.69147918888094e-05	518	518	0.365556040904408	1
ageanyformula	ko00750	ageanyformula	2.7266869061456e-05	518	518	0.374053814488918	1
ageanyformula	ko01053	ageanyformula	-3.81714047794795e-05	518	518	0.386323429990273	1
ageanyformula	ko00400	ageanyformula	1.58152545514833e-05	518	518	0.392611468232406	1
ageanyformula	ko00906	ageanyformula	-1.24718786198205e-05	518	510	0.398548405078492	1
ageanyformula	ko00564	ageanyformula	-1.86248398564856e-05	518	518	0.402774771444662	1
ageanyformula	ko02040	ageanyformula	5.57808757206409e-05	518	518	0.403807031669867	1
ageanyformula	ko00600	ageanyformula	5.70324811749256e-05	518	465	0.407249967475654	1
ageanyformula	ko00040	ageanyformula	3.44074227414865e-05	518	518	0.409712614364428	1
ageanyformula	ko03070	ageanyformula	1.45374167116977e-05	518	518	0.40994789001352	1
ageanyformula	ko00660	ageanyformula	4.24907209086504e-05	518	518	0.413210807416652	1
ageanyformula	ko02020	ageanyformula	-1.31904321132676e-05	518	518	0.445280012431182	1
ageanyformula	ko00830	ageanyformula	-5.77305987626979e-06	518	513	0.577565642577876	1
ageanyformula	ko00590	ageanyformula	-1.78093760594557e-05	518	496	0.671831378908289	1
ageanyformula	ko00071	ageanyformula	9.90749368434281e-06	518	518	0.696947804425393	1
ageanyformula	ko00260	ageanyformula	6.68977702516845e-06	518	518	0.697196345100741	1
ageanyformula	ko00983	ageanyformula	6.59875270541677e-06	518	516	0.777143111212465	1
ageanyformula	ko00280	ageanyformula	1.97379353937473e-06	518	518	0.888542274646594	1
ageanyformula	ko00270	ageanyformula	2.7460553203779e-06	518	518	0.889137514620939	1
ageanyformula	ko00030	ageanyformula	2.6871044190087e-06	518	518	0.894807428566191	1
ageanyformula	ko00640	ageanyformula	1.58003727363655e-06	518	518	0.904500000762823	1
ageanyformula	ko00380	ageanyformula	-1.47568713009151e-06	518	518	0.924640692211036	1
