Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
bfduration	ko00360	bfduration	0.00010631564565178	518	518	0.0172424316897688	0.149306033683911
bfduration	ko00190	bfduration	-9.77217621867617e-05	518	518	0.0172865996048599	0.149306033683911
bfduration	ko00310	bfduration	-0.000326502810691083	518	517	0.028811768670029	0.242971686973236
bfduration	ko00791	bfduration	-0.000103116085872224	518	517	0.0317920364806217	0.263947837757719
bfduration	ko00030	bfduration	-0.000112968657811746	518	518	0.0321717936001968	0.265046084198544
bfduration	ko00230	bfduration	-6.27046902106703e-05	518	518	0.0337147650268376	0.270168044381042
bfduration	ko00640	bfduration	-7.22886828404459e-05	518	518	0.034466067122923	0.273430799175189
bfduration	ko00531	bfduration	0.000282726926503709	518	501	0.0551381025105545	0.401720461148325
bfduration	ko00720	bfduration	-8.26759743406384e-05	518	518	0.0596994882938672	0.417896418057071
bfduration	ko00040	bfduration	-0.000179064038916792	518	518	0.0971638995037396	0.615754653068077
bfduration	ko00633	bfduration	-0.000242522274849931	518	518	0.103190937962076	0.642543573008046
bfduration	ko00053	bfduration	0.000315173611821793	518	518	0.158768072971235	0.87882169203159
bfduration	ko00361	bfduration	-6.25020978169072e-05	518	338	0.16685765581005	0.902548229154364
bfduration	ko00270	bfduration	6.2161105386382e-05	518	518	0.222054532092397	1
bfduration	ko00670	bfduration	-4.12824089973781e-05	518	518	0.231665235648114	1
bfduration	ko02060	bfduration	0.000207350346274693	518	518	0.279578615794745	1
bfduration	ko04910	bfduration	-4.95419731127882e-05	518	508	0.311684665175171	1
bfduration	ko00900	bfduration	4.43537584294012e-05	518	518	0.32618084088705	1
bfduration	ko00830	bfduration	2.35796271170069e-05	518	513	0.377718051254044	1
bfduration	ko00430	bfduration	-0.000222400074169152	518	457	0.387475766363897	1
bfduration	ko00983	bfduration	4.83326768885155e-05	518	516	0.421667608659346	1
bfduration	ko00400	bfduration	3.84332188539993e-05	518	518	0.422436138135088	1
bfduration	ko00660	bfduration	0.00010368332339061	518	518	0.438877864867751	1
bfduration	ko00240	bfduration	-2.46122765658412e-05	518	518	0.441635110539752	1
bfduration	ko00380	bfduration	-3.03649680267558e-05	518	518	0.447773313486912	1
bfduration	ko00906	bfduration	-2.84906835800305e-05	518	510	0.45097149648189	1
bfduration	ko04210	bfduration	2.26151185289947e-05	518	510	0.484808986968943	1
bfduration	ko00561	bfduration	-5.43591913823979e-05	518	518	0.501342690878837	1
bfduration	ko02040	bfduration	-0.000110107789669943	518	518	0.524416969847657	1
bfduration	ko00860	bfduration	-6.39406224031621e-05	518	518	0.559063100726283	1
bfduration	ko04621	bfduration	7.02662927962372e-06	518	358	0.562157597832723	1
bfduration	ko00600	bfduration	9.81637605628729e-05	518	465	0.580103131840594	1
bfduration	ko00564	bfduration	2.96498100229014e-05	518	518	0.605326640739208	1
bfduration	ko02020	bfduration	-2.22533337380419e-05	518	518	0.617660029919974	1
bfduration	ko00650	bfduration	2.26344167509165e-05	518	518	0.625805503469261	1
bfduration	ko00510	bfduration	-2.73397734524304e-05	518	518	0.662769824904577	1
bfduration	ko03070	bfduration	1.95069017084317e-05	518	518	0.667981292066325	1
bfduration	ko00540	bfduration	-0.000110029408316164	518	518	0.698503036571693	1
bfduration	ko00750	bfduration	2.6552129216626e-05	518	518	0.736992598504981	1
bfduration	ko00340	bfduration	2.20779434373333e-05	518	518	0.757468400293542	1
bfduration	ko00260	bfduration	-1.17420250280508e-05	518	518	0.79105422804976	1
bfduration	ko00780	bfduration	-4.1966068418048e-05	518	518	0.793303953596033	1
bfduration	ko00562	bfduration	-1.24986444531593e-05	518	518	0.794756335166585	1
bfduration	ko00281	bfduration	-3.95258251105068e-05	518	470	0.812142693108429	1
bfduration	ko00521	bfduration	2.82356844214895e-05	518	518	0.852478103103534	1
bfduration	ko04141	bfduration	8.99769460056686e-06	518	517	0.873900171189739	1
bfduration	ko00071	bfduration	5.60562037631566e-06	518	518	0.931916003361333	1
bfduration	ko00020	bfduration	-5.54399051641821e-06	518	518	0.934086569064527	1
bfduration	ko00590	bfduration	-6.78566940823318e-06	518	496	0.950095580598359	1
bfduration	ko01053	bfduration	-5.9914449638869e-06	518	518	0.958089538027898	1
bfduration	ko00520	bfduration	-3.94575595877054e-07	518	518	0.991608430576857	1
