Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
caesar	ko00561	caesar1	0.00608512489848904	518	518	1.3855458110951e-09	2.60336765558395e-08
caesar	ko04141	caesar1	-0.00382785332298799	518	517	3.82138471599874e-08	6.49635401719786e-07
caesar	ko02060	caesar1	0.0125474578411849	518	518	1.05696372073008e-07	1.689564395376e-06
caesar	ko00140	caesar1	-0.00392491804460725	518	465	5.17545404262798e-07	7.91844468522081e-06
caesar	ko00564	caesar1	0.00351768355304113	518	518	5.44343856287467e-07	8.21115873357573e-06
caesar	ko01053	caesar1	0.00609458926034931	518	518	9.88083320172082e-06	0.000129053321451744
caesar	ko00650	caesar1	0.00243765921531445	518	518	1.53334293738329e-05	0.00019550122451637
caesar	ko05150	caesar1	0.00518839845356057	518	518	2.40045490603035e-05	0.000302457318159825
caesar	ko02020	caesar1	0.00219662774292826	518	518	4.73627276135238e-05	0.000583051508897517
caesar	ko00531	caesar1	-0.00729470773850901	518	501	8.76524848216989e-05	0.00103160232136307
caesar	ko00380	caesar1	0.00189770759311047	518	518	9.36940327008909e-05	0.00109072075024624
caesar	ko00640	caesar1	0.00156593872024253	518	518	0.000137418727070771	0.00158253179239565
caesar	ko00340	caesar1	-0.00333200520489027	518	518	0.00024295141408503	0.00268248416994914
caesar	ko00053	caesar1	0.00867557672973872	518	518	0.00112827720346001	0.0118469106363301
caesar	ko00562	caesar1	0.00157587752526608	518	518	0.00599583655117772	0.0573351870206369
caesar	ko00750	caesar1	-0.00247628080696773	518	518	0.00879525895760754	0.0826291433648919
caesar	ko00361	caesar1	-0.00135626732088332	518	338	0.0120124762094465	0.108112285885019
caesar	ko00430	caesar1	-0.00638053968068675	518	457	0.0374093531562113	0.294598656105164
caesar	ko00791	caesar1	-0.00103486721541162	518	517	0.0689548678235052	0.476455893154672
caesar	ko00400	caesar1	-0.00101710474968151	518	518	0.0727058201938725	0.495974098265206
