Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
studygroup	ko00562	studygroupplaceb	-0.00211892088940639	518	518	0.0282749490385068	0.409222573246497
studygroup	ko00906	studygrouplactob DR20	-0.00127995961376625	518	510	0.0899358936529082	0.939720410753802
studygroup	ko04621	studygrouplactob DR20	0.000377360050334551	518	358	0.136161472799099	1
studygroup	ko02060	studygrouplactob DR20	0.00539877295518977	518	518	0.159582505527299	1
studygroup	ko04621	studygroupplaceb	0.00032637941571566	518	358	0.192080194687566	1
studygroup	ko00361	studygroupplaceb	-0.00114102010658436	518	338	0.201239717578694	1
studygroup	ko00361	studygrouplactob DR20	0.00103478429877079	518	338	0.252009171425251	1
studygroup	ko00562	studygrouplactob DR20	-0.000799598210546938	518	518	0.405231901752985	1
studygroup	ko00906	studygroupplaceb	-0.000548234870893161	518	510	0.461313909077762	1
studygroup	ko02060	studygroupplaceb	0.00266065637954291	518	518	0.482052367733967	1
studygroup	ko00520	studygroupplaceb	-0.000468588743725697	518	518	0.525558457367968	1
studygroup	ko00380	studygroupplaceb	-0.000281725358332194	518	518	0.721785391162957	1
studygroup	ko00791	studygrouplactob DR20	0.000263306192880867	518	517	0.782236904391164	1
studygroup	ko00791	studygroupplaceb	0.000195731548003371	518	517	0.835243552273393	1
studygroup	ko00520	studygrouplactob DR20	8.51426589683715e-05	518	518	0.909136979458868	1
studygroup	ko00380	studygrouplactob DR20	8.49375459296608e-05	518	518	0.915730288307909	1
