	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
1	ageanyformula	ko02060	ageanyformula	-0.000194828832777685	518	518	0.0097735251254545	0.0910212644292328
2	ageanyformula	ko00720	ageanyformula	4.38393235589498e-05	518	518	0.0102885323169525	0.0949915354435872
3	ageanyformula	ko05150	ageanyformula	-8.56741108094471e-05	518	518	0.0222836609146418	0.189411117774455
4	Antibiotics_before_3_months	ko02020	Antibiotics_before_3_months1	0.00218446463245156	518	518	0.0118781578486399	0.107809381829604
5	Antibiotics_before_3_months	ko00362	Antibiotics_before_3_months1	0.00204755913623965	518	518	0.0202159455604576	0.173210221562001
6	bfduration	ko00360	bfduration	0.00010631564565178	518	518	0.0172424316897688	0.149306033683911
7	bfduration	ko00190	bfduration	-9.77217621867617e-05	518	518	0.0172865996048599	0.149306033683911
8	bfduration	ko00310	bfduration	-0.000326502810691083	518	517	0.028811768670029	0.242971686973236
9	caesar	ko00561	caesar1	0.00608512489848904	518	518	1.3855458110951e-09	2.60336765558395e-08
10	caesar	ko04141	caesar1	-0.00382785332298799	518	517	3.82138471599874e-08	6.49635401719786e-07
11	caesar	ko02060	caesar1	0.0125474578411849	518	518	1.05696372073008e-07	1.689564395376e-06
12	caesar	ko00140	caesar1	-0.00392491804460725	518	465	5.17545404262798e-07	7.91844468522081e-06
13	caesar	ko00564	caesar1	0.00351768355304113	518	518	5.44343856287467e-07	8.21115873357573e-06
14	caesar	ko01053	caesar1	0.00609458926034931	518	518	9.88083320172082e-06	0.000129053321451744
15	caesar	ko00650	caesar1	0.00243765921531445	518	518	1.53334293738329e-05	0.00019550122451637
16	caesar	ko05150	caesar1	0.00518839845356057	518	518	2.40045490603035e-05	0.000302457318159825
17	caesar	ko02020	caesar1	0.00219662774292826	518	518	4.73627276135238e-05	0.000583051508897517
18	caesar	ko00531	caesar1	-0.00729470773850901	518	501	8.76524848216989e-05	0.00103160232136307
19	caesar	ko00380	caesar1	0.00189770759311047	518	518	9.36940327008909e-05	0.00109072075024624
20	caesar	ko00640	caesar1	0.00156593872024253	518	518	0.000137418727070771	0.00158253179239565
21	caesar	ko00340	caesar1	-0.00333200520489027	518	518	0.00024295141408503	0.00268248416994914
22	caesar	ko00053	caesar1	0.00867557672973872	518	518	0.00112827720346001	0.0118469106363301
23	caesar	ko00562	caesar1	0.00157587752526608	518	518	0.00599583655117772	0.0573351870206369
24	caesar	ko00750	caesar1	-0.00247628080696773	518	518	0.00879525895760754	0.0826291433648919
25	caesar	ko00361	caesar1	-0.00135626732088332	518	338	0.0120124762094465	0.108112285885019
26	eczema_by_2_years	ko00531	eczema_by_2_years1	0.00750507684510939	518	501	0.000501462233908505	0.00548026584200009
27	eczema_by_2_years	ko04141	eczema_by_2_years1	0.00198726458766388	518	517	0.0113672274623476	0.104053851386105
28	eczema_by_2_years	ko02040	eczema_by_2_years1	0.00583693522638071	518	518	0.0147036432275435	0.129078704071304
29	time	ko00790	time	-0.00159292985068256	518	518	1.08977566873517e-64	9.62474495453187e-62
30	time	ko04626	time	0.000556328879919002	518	518	1.79733799337663e-64	9.62474495453187e-62
31	time	ko03010	time	0.0014968010339188	518	518	5.45290640007183e-64	1.94668758482564e-61
32	time	ko00970	time	0.000947470946324934	518	518	2.06938014694211e-63	5.54076534343751e-61
33	time	ko00130	time	-0.00133989832152191	518	518	2.5484906191244e-60	5.45886690616446e-58
34	time	ko00480	time	-0.00074746588419878	518	518	4.6102199340414e-59	8.2292425822639e-57
35	time	ko00785	time	-0.0021670234528582	518	518	3.52869604083535e-56	5.39890494247808e-54
36	time	ko00473	time	-0.00146331365496607	518	518	1.28084381026056e-53	1.71472965098633e-51
37	time	ko00680	time	0.000369212224790035	518	518	4.77293142856431e-53	5.67978839999153e-51
38	time	ko03020	time	0.000464799256662989	518	518	5.73395815413433e-53	6.14106918307787e-51
39	time	ko00440	time	-0.000659894246048735	518	518	1.63787823188003e-52	1.59469780576683e-50
40	time	ko00290	time	0.00131757309101666	518	518	5.37579572168147e-51	4.79789768160072e-49
41	time	ko00330	time	0.000498371832810146	518	518	9.36003243100443e-51	7.71122671815827e-49
42	time	ko00250	time	0.000708862212618724	518	518	1.08322531141037e-50	8.28667363228936e-49
43	time	ko00450	time	0.000589126496566895	518	518	1.0220589465333e-45	7.29750087824774e-44
44	time	ko03060	time	-0.000614598778734191	518	518	6.38909894721634e-39	4.27670310779294e-37
45	time	ko00930	time	0.000229294833976948	518	400	2.52327431739263e-38	1.58966281995736e-36
46	time	ko03018	time	0.000324540036451041	518	518	1.34796945521279e-37	8.02041825851612e-36
47	time	ko00908	time	-0.000504407821429337	518	518	2.28886954003124e-37	1.29019961967024e-35
48	time	ko00550	time	-0.000782009264592513	518	518	3.14139164091875e-37	1.65149529650012e-35
49	time	ko03430	time	-0.000435491944996744	518	518	3.23822607156886e-37	1.65149529650012e-35
50	time	ko00410	time	0.00216418667034456	518	326	1.57620824796207e-34	7.67326833439714e-33
51	time	ko00100	time	0.000101498081529442	518	383	2.91213972606893e-33	1.35604419418253e-31
52	time	ko00770	time	0.000388456797529981	518	518	7.08987650361506e-33	3.16385738973822e-31
53	time	ko00620	time	0.000620028941952988	518	518	1.09520425459132e-29	4.6918550266692e-28
54	time	ko01040	time	-0.000682226635995384	518	518	3.09768028077768e-29	1.27600599258188e-27
55	time	ko03440	time	-0.000338492297592823	518	518	2.02255869468139e-28	8.02281615556952e-27
56	time	ko00920	time	0.000443044665964734	518	518	8.56552363701403e-28	3.24577685897884e-26
57	time	ko00350	time	-0.000388367690097757	518	518	8.78875153224897e-28	3.24577685897884e-26
58	time	ko03030	time	-0.000423167195691108	518	518	1.51362181434707e-27	5.40362987721903e-26
59	time	ko00300	time	0.000400062492362658	518	518	6.87968878827356e-25	2.37682151362612e-23
60	time	ko04112	time	0.000290531704058941	518	518	1.3362997555006e-24	4.47242824419107e-23
61	time	ko00760	time	-0.000660430556929285	518	518	5.11341388706036e-24	1.65953523425504e-22
62	time	ko00052	time	-0.000366175940689102	518	518	2.23926006044957e-23	7.05366919041615e-22
63	time	ko03008	time	-0.000354453987895758	518	518	2.35743844023113e-23	7.21376162710725e-22
64	time	ko02010	time	-0.000413698825202108	518	518	6.78871480159343e-23	2.01964265347405e-21
65	time	ko00471	time	-0.000645543277473399	518	518	9.67583299877996e-23	2.80076138964685e-21
