	Variable	Feature  	Value	Coefficient	N	N.not.0	P.value	Q.value
1	ageanyformula	ko02060 ko02060: Phosphotransferase system (PTS) 	ageanyformula	-0.000194828832777685	518	518	0.0097735251254545	0.0910212644292328
2	ageanyformula	ko00720 ko00720: Carbon fixation pathways in prokaryotes 	ageanyformula	4.38393235589498e-05	518	518	0.0102885323169525	0.0949915354435872
3	ageanyformula	ko05150 ko05150: Staphylococcus aureus infection 	ageanyformula	-8.56741108094471e-05	518	518	0.0222836609146418	0.189411117774455
4	Antibiotics_before_3_months	ko02020 ko02020: Two-component system 	Antibiotics_before_3_months1	0.00218446463245156	518	518	0.0118781578486399	0.107809381829604
5	Antibiotics_before_3_months	ko00362 ko00362: Benzoate degradation 	Antibiotics_before_3_months1	0.00204755913623965	518	518	0.0202159455604576	0.173210221562001
6	bfduration	ko00360 ko00360: Phenylalanine metabolism 	bfduration	0.00010631564565178	518	518	0.0172424316897688	0.149306033683911
7	bfduration	ko00190 ko00190: Oxidative phosphorylation 	bfduration	-9.77217621867617e-05	518	518	0.0172865996048599	0.149306033683911
8	bfduration	ko00310 ko00310: Lysine degradation 	bfduration	-0.000326502810691083	518	517	0.028811768670029	0.242971686973236
9	caesar	ko00561 ko00561: Glycerolipid metabolism 	caesar1	0.00608512489848904	518	518	1.3855458110951e-09	2.60336765558395e-08
10	caesar	ko04141 ko04141: Protein processing in endoplasmic reticulum 	caesar1	-0.00382785332298799	518	517	3.82138471599874e-08	6.49635401719786e-07
11	caesar	ko02060 ko02060: Phosphotransferase system (PTS) 	caesar1	0.0125474578411849	518	518	1.05696372073008e-07	1.689564395376e-06
12	caesar	ko00140 ko00140: Steroid hormone biosynthesis 	caesar1	-0.00392491804460725	518	465	5.17545404262798e-07	7.91844468522081e-06
13	caesar	ko00564 ko00564: Glycerophospholipid metabolism 	caesar1	0.00351768355304113	518	518	5.44343856287467e-07	8.21115873357573e-06
14	caesar	ko01053 ko01053: Biosynthesis of siderophore group nonribosomal peptides 	caesar1	0.00609458926034931	518	518	9.88083320172082e-06	0.000129053321451744
15	caesar	ko00650 ko00650: Butanoate metabolism 	caesar1	0.00243765921531445	518	518	1.53334293738329e-05	0.00019550122451637
16	caesar	ko05150 ko05150: Staphylococcus aureus infection 	caesar1	0.00518839845356057	518	518	2.40045490603035e-05	0.000302457318159825
17	caesar	ko02020 ko02020: Two-component system 	caesar1	0.00219662774292826	518	518	4.73627276135238e-05	0.000583051508897517
18	caesar	ko00531 ko00531: Glycosaminoglycan degradation 	caesar1	-0.00729470773850901	518	501	8.76524848216989e-05	0.00103160232136307
19	caesar	ko00380 ko00380: Tryptophan metabolism 	caesar1	0.00189770759311047	518	518	9.36940327008909e-05	0.00109072075024624
20	caesar	ko00640 ko00640: Propanoate metabolism 	caesar1	0.00156593872024253	518	518	0.000137418727070771	0.00158253179239565
21	caesar	ko00340 ko00340: Histidine metabolism 	caesar1	-0.00333200520489027	518	518	0.00024295141408503	0.00268248416994914
22	caesar	ko00053 ko00053: Ascorbate and aldarate metabolism 	caesar1	0.00867557672973872	518	518	0.00112827720346001	0.0118469106363301
23	caesar	ko00562 ko00562: Inositol phosphate metabolism 	caesar1	0.00157587752526608	518	518	0.00599583655117772	0.0573351870206369
24	caesar	ko00750 ko00750: Vitamin B6 metabolism 	caesar1	-0.00247628080696773	518	518	0.00879525895760754	0.0826291433648919
25	caesar	ko00361 ko00361: Chlorocyclohexane and chlorobenzene degradation 	caesar1	-0.00135626732088332	518	338	0.0120124762094465	0.108112285885019
26	eczema_by_2_years	ko00531 ko00531: Glycosaminoglycan degradation 	eczema_by_2_years1	0.00750507684510939	518	501	0.000501462233908505	0.00548026584200009
27	eczema_by_2_years	ko04141 ko04141: Protein processing in endoplasmic reticulum 	eczema_by_2_years1	0.00198726458766388	518	517	0.0113672274623476	0.104053851386105
28	eczema_by_2_years	ko02040 ko02040: Flagellar assembly 	eczema_by_2_years1	0.00583693522638071	518	518	0.0147036432275435	0.129078704071304
29	time	ko00790 ko00790: Folate biosynthesis 	time	-0.00159292985068256	518	518	1.08977566873517e-64	9.62474495453187e-62
