Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Antibiotics_before_3_months	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Caudovirales	Antibiotics_before_3_months1	0.0717001147544309	518	104	0.00231157897280665	0.0228779423739513
Antibiotics_before_3_months	k__Viruses_p__Viruses_noname	Antibiotics_before_3_months1	0.072076651638453	518	155	0.00319321811313476	0.0312023027054882
Antibiotics_before_3_months	k__Viruses	Antibiotics_before_3_months1	0.0708541326477108	518	155	0.00362314603148114	0.0346336754189409
Antibiotics_before_3_months	k__Viruses_p__Viruses_noname_c__Viruses_noname	Antibiotics_before_3_months1	0.0708541326477108	518	155	0.00362314603148114	0.0346336754189409
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Roseburia_s__Roseburia_intestinalis	Antibiotics_before_3_months1	0.089449544303445	518	104	0.00970691644629379	0.0894547569511745
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Roseburia_s__Roseburia_intestinalis_t__Roseburia_intestinalis_unclassified	Antibiotics_before_3_months1	0.089449544303445	518	104	0.00970691644629379	0.0894547569511745
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Dorea_s__Dorea_unclassified	Antibiotics_before_3_months1	0.0592647498865447	518	95	0.0192397051148522	0.169684276055917
Antibiotics_before_3_months	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_dentium	Antibiotics_before_3_months1	0.0754046477001352	518	84	0.0196468824799812	0.172288046362912
Antibiotics_before_3_months	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_dentium_t__Bifidobacterium_dentium_unclassified	Antibiotics_before_3_months1	0.0754046477001352	518	84	0.0196468824799812	0.172288046362912
Antibiotics_before_3_months	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales	Antibiotics_before_3_months1	0.104774873762218	518	469	0.0234826191287468	0.200776393550785
Antibiotics_before_3_months	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae	Antibiotics_before_3_months1	0.104774873762218	518	469	0.0234826191287468	0.200776393550785
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia	Antibiotics_before_3_months1	-0.0796178093846428	518	337	0.026916932759189	0.226987175432284
Antibiotics_before_3_months	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Caudovirales_f__Siphoviridae	Antibiotics_before_3_months1	0.0473211316524646	518	83	0.0297233102256506	0.248609643680849
Antibiotics_before_3_months	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_thetaiotaomicron_t__Bacteroides_thetaiotaomicron_unclassified	Antibiotics_before_3_months1	-0.0816003976662531	518	146	0.0426287164708823	0.353668973847374
Antibiotics_before_3_months	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria	Antibiotics_before_3_months1	0.0925078016911705	518	483	0.0431275694548394	0.356845856940848
Antibiotics_before_3_months	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_thetaiotaomicron	Antibiotics_before_3_months1	-0.0796493789198952	518	146	0.0471447794583737	0.387999013831215
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname_s__Lachnospiraceae_bacterium_5_1_63FAA	Antibiotics_before_3_months1	-0.0707030309160257	518	189	0.0500088143608819	0.405998249104045
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname_s__Lachnospiraceae_bacterium_5_1_63FAA_t__GCF_000185525	Antibiotics_before_3_months1	-0.0707030309160257	518	189	0.0500088143608819	0.405998249104045
Antibiotics_before_3_months	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales	Antibiotics_before_3_months1	-0.0839676683471054	518	398	0.0520570199328316	0.418359027031999
Antibiotics_before_3_months	k__Eukaryota_p__Ascomycota_c__Saccharomycetes_o__Saccharomycetales_f__Saccharomycetaceae	Antibiotics_before_3_months1	0.0155233413451357	518	54	0.0561700426475308	0.44516557729704
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Dorea	Antibiotics_before_3_months1	0.0712418156027766	518	193	0.0630299583483884	0.491154966573011
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname_s__Lachnospiraceae_bacterium_1_1_57FAA	Antibiotics_before_3_months1	-0.0662037117092794	518	114	0.06943318658971	0.533519747864344
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname_s__Lachnospiraceae_bacterium_1_1_57FAA_t__GCF_000218445	Antibiotics_before_3_months1	-0.0662037117092794	518	114	0.06943318658971	0.533519747864344
Antibiotics_before_3_months	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_vulgatus	Antibiotics_before_3_months1	-0.0968007569093009	518	195	0.0696799670700021	0.533519747864344
Antibiotics_before_3_months	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_vulgatus_t__Bacteroides_vulgatus_unclassified	Antibiotics_before_3_months1	-0.0968007569093009	518	195	0.0696799670700021	0.533519747864344
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales	Antibiotics_before_3_months1	0.0399013907139233	518	352	0.0744221687840769	0.565608482758984
Antibiotics_before_3_months	k__Eukaryota	Antibiotics_before_3_months1	0.0147939679406054	518	56	0.0751763264201071	0.565643936464393
Antibiotics_before_3_months	k__Eukaryota_p__Ascomycota	Antibiotics_before_3_months1	0.0147939679406054	518	56	0.0751763264201071	0.565643936464393
Antibiotics_before_3_months	k__Eukaryota_p__Ascomycota_c__Saccharomycetes	Antibiotics_before_3_months1	0.0147939679406054	518	56	0.0751763264201071	0.565643936464393
Antibiotics_before_3_months	k__Eukaryota_p__Ascomycota_c__Saccharomycetes_o__Saccharomycetales	Antibiotics_before_3_months1	0.0147939679406054	518	56	0.0751763264201071	0.565643936464393
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae	Antibiotics_before_3_months1	-0.0544651319469655	518	346	0.0884057874971797	0.640265915097222
Antibiotics_before_3_months	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae	Antibiotics_before_3_months1	0.0293622339999045	518	213	0.100654400306101	0.723865056406957
Antibiotics_before_3_months	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Adlercreutzia	Antibiotics_before_3_months1	0.0374388856927921	518	77	0.103322555889998	0.737881269209774
Antibiotics_before_3_months	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Adlercreutzia_s__Adlercreutzia_equolifaciens	Antibiotics_before_3_months1	0.0374388856927921	518	77	0.103322555889998	0.737881269209774
Antibiotics_before_3_months	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Adlercreutzia_s__Adlercreutzia_equolifaciens_t__GCF_000478885	Antibiotics_before_3_months1	0.0374388856927921	518	77	0.103322555889998	0.737881269209774
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__Clostridium_s__Clostridium_bolteae	Antibiotics_before_3_months1	-0.054028209782384	518	177	0.11016310738778	0.780787533258455
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname	Antibiotics_before_3_months1	-0.0528748921728511	518	281	0.111388307363259	0.782769885991123
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia_s__Ruminococcus_torques	Antibiotics_before_3_months1	-0.0659870331810642	518	323	0.117173922286321	0.801317481773401
Antibiotics_before_3_months	k__Bacteria_p__Bacteroidetes_c__Bacteroidia	Antibiotics_before_3_months1	-0.0704179671590412	518	398	0.122430667657314	0.828101605923806
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Negativicutes_o__Selenomonadales_f__Veillonellaceae_g__Veillonella_s__Veillonella_dispar	Antibiotics_before_3_months1	0.0147839773850102	518	157	0.122720870505895	0.828101605923806
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Negativicutes_o__Selenomonadales_f__Veillonellaceae_g__Veillonella_s__Veillonella_dispar_t__GCF_000160015	Antibiotics_before_3_months1	0.0147839773850102	518	157	0.122720870505895	0.828101605923806
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Holdemania	Antibiotics_before_3_months1	-0.019265462169571	518	68	0.128141160976266	0.859299550076136
Antibiotics_before_3_months	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales	Antibiotics_before_3_months1	-0.0740270262652326	518	391	0.14058589601121	0.928590961207092
Antibiotics_before_3_months	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae	Antibiotics_before_3_months1	-0.0740270262652326	518	391	0.14058589601121	0.928590961207092
Antibiotics_before_3_months	k__Bacteria_p__Proteobacteria	Antibiotics_before_3_months1	0.0648349030902086	518	493	0.142824187621629	0.93211334114297
Antibiotics_before_3_months	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Prevotellaceae	Antibiotics_before_3_months1	-0.0342688231060574	518	53	0.142945569517334	0.93211334114297
Antibiotics_before_3_months	k__Bacteria_p__Bacteroidetes	Antibiotics_before_3_months1	-0.0654380728858281	518	398	0.14991413377393	0.971443586855064
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae	Antibiotics_before_3_months1	-0.0685275044288086	518	265	0.151522300105785	0.978393040524355
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus	Antibiotics_before_3_months1	-0.0680631537254124	518	265	0.153979151300147	0.989452667436018
Antibiotics_before_3_months	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_caccae	Antibiotics_before_3_months1	0.0547232421530063	518	99	0.166237008867591	1
Antibiotics_before_3_months	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_caccae_t__Bacteroides_caccae_unclassified	Antibiotics_before_3_months1	0.0547232421530063	518	99	0.166237008867591	1
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae	Antibiotics_before_3_months1	-0.0402063649169743	518	294	0.166894366182285	1
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_vestibularis_t__Streptococcus_vestibularis_unclassified	Antibiotics_before_3_months1	0.0355930119003766	518	121	0.176370881108478	1
Antibiotics_before_3_months	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella_s__Collinsella_aerofaciens	Antibiotics_before_3_months1	-0.0809848420048484	518	203	0.177515695508887	1
Antibiotics_before_3_months	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella_s__Collinsella_aerofaciens_t__GCF_000169035	Antibiotics_before_3_months1	-0.0809848420048484	518	203	0.177515695508887	1
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_vestibularis	Antibiotics_before_3_months1	0.0352867294517426	518	121	0.179171269309172	1
Antibiotics_before_3_months	k__Bacteria_p__Verrucomicrobia	Antibiotics_before_3_months1	-0.0458510073768557	518	143	0.179341038714956	1
Antibiotics_before_3_months	k__Bacteria_p__Verrucomicrobia_c__Verrucomicrobiae	Antibiotics_before_3_months1	-0.0458510073768557	518	143	0.179341038714956	1
Antibiotics_before_3_months	k__Bacteria_p__Verrucomicrobia_c__Verrucomicrobiae_o__Verrucomicrobiales	Antibiotics_before_3_months1	-0.0458510073768557	518	143	0.179341038714956	1
Antibiotics_before_3_months	k__Bacteria_p__Verrucomicrobia_c__Verrucomicrobiae_o__Verrucomicrobiales_f__Verrucomicrobiaceae	Antibiotics_before_3_months1	-0.0458510073768557	518	143	0.179341038714956	1
Antibiotics_before_3_months	k__Bacteria_p__Verrucomicrobia_c__Verrucomicrobiae_o__Verrucomicrobiales_f__Verrucomicrobiaceae_g__Akkermansia	Antibiotics_before_3_months1	-0.0458510073768557	518	143	0.179341038714956	1
Antibiotics_before_3_months	k__Bacteria_p__Verrucomicrobia_c__Verrucomicrobiae_o__Verrucomicrobiales_f__Verrucomicrobiaceae_g__Akkermansia_s__Akkermansia_muciniphila	Antibiotics_before_3_months1	-0.0458510073768557	518	143	0.179341038714956	1
Antibiotics_before_3_months	k__Bacteria_p__Verrucomicrobia_c__Verrucomicrobiae_o__Verrucomicrobiales_f__Verrucomicrobiaceae_g__Akkermansia_s__Akkermansia_muciniphila_t__GCF_000020225	Antibiotics_before_3_months1	-0.0458510073768557	518	143	0.179341038714956	1
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__Lactobacillus_rhamnosus	Antibiotics_before_3_months1	-0.058079032874999	518	179	0.186154423627115	1
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__Lactobacillus_rhamnosus_t__Lactobacillus_rhamnosus_unclassified	Antibiotics_before_3_months1	-0.058079032874999	518	179	0.186154423627115	1
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia	Antibiotics_before_3_months1	-0.0415323057813465	518	426	0.190959313933521	1
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales	Antibiotics_before_3_months1	-0.0415323057813465	518	426	0.190959313933521	1
Antibiotics_before_3_months	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales	Antibiotics_before_3_months1	0.0235272879612144	518	213	0.19797040424523	1
Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__Clostridium_s__Clostridium_symbiosum	Antibiotics_before_3_months1	-0.0383028890702853	518	109	0.198855408521309	1
