Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Any_smoking_during_pregnancy	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Klebsiella_s__Klebsiella_oxytoca	Any_smoking_during_pregnancy1	0.0870783871670407	518	173	3.48745102457933e-07	4.74972312108637e-06
Any_smoking_during_pregnancy	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Klebsiella_s__Klebsiella_oxytoca_t__Klebsiella_oxytoca_unclassified	Any_smoking_during_pregnancy1	0.0870783871670407	518	173	3.48745102457933e-07	4.74972312108637e-06
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Coprobacillus_s__Coprobacillus_unclassified	Any_smoking_during_pregnancy1	0.288925235061668	518	269	0.000543945793447392	0.00585407395884991
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Carnobacteriaceae_g__Granulicatella_s__Granulicatella_elegans	Any_smoking_during_pregnancy1	0.0383085628538661	518	55	0.000566433074243106	0.00605375348097319
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Carnobacteriaceae_g__Granulicatella_s__Granulicatella_elegans_t__GCF_000162475	Any_smoking_during_pregnancy1	0.0383085628538661	518	55	0.000566433074243106	0.00605375348097319
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Erysipelotrichaceae_noname_s__Clostridium_ramosum	Any_smoking_during_pregnancy1	0.146053064429643	518	224	0.00102772287636375	0.0106559144511871
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Erysipelotrichaceae_noname_s__Clostridium_ramosum_t__GCF_000154485	Any_smoking_during_pregnancy1	0.146053064429643	518	224	0.00102772287636375	0.0106559144511871
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia	Any_smoking_during_pregnancy1	0.257230446917798	518	315	0.00103166423211623	0.0106559144511871
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales	Any_smoking_during_pregnancy1	0.257230446917798	518	315	0.00103166423211623	0.0106559144511871
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae	Any_smoking_during_pregnancy1	0.257230446917798	518	315	0.00103166423211623	0.0106559144511871
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae	Any_smoking_during_pregnancy1	0.169005248449988	518	294	0.00125789994878751	0.0128205829217482
Any_smoking_during_pregnancy	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Klebsiella	Any_smoking_during_pregnancy1	0.0858215702723649	518	233	0.00238842235029932	0.0234874249016655
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Coprobacillus	Any_smoking_during_pregnancy1	0.232458677191071	518	276	0.00537808706934202	0.0512500061902005
Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae	Any_smoking_during_pregnancy1	0.0929349454670516	518	268	0.00617580143778933	0.0584895902323556
Any_smoking_during_pregnancy	k__Viruses	Any_smoking_during_pregnancy1	0.118150641642806	518	155	0.00630769183635425	0.059373319487151
Any_smoking_during_pregnancy	k__Viruses_p__Viruses_noname_c__Viruses_noname	Any_smoking_during_pregnancy1	0.118150641642806	518	155	0.00630769183635425	0.059373319487151
Any_smoking_during_pregnancy	k__Viruses_p__Viruses_noname	Any_smoking_during_pregnancy1	0.115181312437118	518	155	0.00807836810749091	0.0755781672792006
Any_smoking_during_pregnancy	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Viruses_noname	Any_smoking_during_pregnancy1	0.0489181359890692	518	65	0.00963817406725011	0.0893563246355296
Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Actinomyces	Any_smoking_during_pregnancy1	0.0772763346676429	518	255	0.0119110538386207	0.108789981350963
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Bacilli	Any_smoking_during_pregnancy1	-0.121230570494812	518	518	0.01373465641827	0.12507477057821
Any_smoking_during_pregnancy	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Escherichia_s__Escherichia_coli	Any_smoking_during_pregnancy1	0.221817017872663	518	396	0.0141367425847754	0.127979099046878
Any_smoking_during_pregnancy	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Escherichia_s__Escherichia_coli_t__Escherichia_coli_unclassified	Any_smoking_during_pregnancy1	0.221817017872663	518	396	0.0141367425847754	0.127979099046878
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae	Any_smoking_during_pregnancy1	0.196657093269278	518	384	0.0222967733106558	0.193868554379092
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides	Any_smoking_during_pregnancy1	0.193772077482824	518	384	0.0234513204092591	0.200776393550785
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia	Any_smoking_during_pregnancy1	0.142091894391173	518	337	0.0266860368636287	0.225658300731454
Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales	Any_smoking_during_pregnancy1	0.191270821511182	518	391	0.0312884319615637	0.26028592858836
Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae	Any_smoking_during_pregnancy1	0.191270821511182	518	391	0.0312884319615637	0.26028592858836
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae	Any_smoking_during_pregnancy1	0.112533685854382	518	346	0.0484787916668013	0.397913922001105
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_fragilis	Any_smoking_during_pregnancy1	0.144760076206287	518	199	0.050123240630129	0.405998249104045
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_fragilis_t__Bacteroides_fragilis_unclassified	Any_smoking_during_pregnancy1	0.144760076206287	518	199	0.050123240630129	0.405998249104045
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales_f__Bacillales_noname_g__Gemella_s__Gemella_sanguinis	Any_smoking_during_pregnancy1	0.0370341047484904	518	103	0.0508867547479574	0.410024688780662
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales_f__Bacillales_noname_g__Gemella_s__Gemella_sanguinis_t__GCF_000204335	Any_smoking_during_pregnancy1	0.0370341047484904	518	103	0.0508867547479574	0.410024688780662
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_ovatus	Any_smoking_during_pregnancy1	0.0939468458787491	518	173	0.0556396040427496	0.442528943781869
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_ovatus_t__Bacteroides_ovatus_unclassified	Any_smoking_during_pregnancy1	0.0939468458787491	518	173	0.0556396040427496	0.442528943781869
Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella_s__Collinsella_aerofaciens	Any_smoking_during_pregnancy1	0.191773329858115	518	203	0.0625636636663382	0.4887587735152
Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella_s__Collinsella_aerofaciens_t__GCF_000169035	Any_smoking_during_pregnancy1	0.191773329858115	518	203	0.0625636636663382	0.4887587735152
Any_smoking_during_pregnancy	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Caudovirales_f__Siphoviridae	Any_smoking_during_pregnancy1	0.0712379207075352	518	83	0.0652997045341711	0.506278313743523
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Erysipelotrichaceae_noname	Any_smoking_during_pregnancy1	0.141558942062709	518	294	0.0687127434427458	0.531401568635105
Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae_g__Rothia	Any_smoking_during_pregnancy1	0.0504800911415426	518	261	0.0731475244055045	0.558680099553704
Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae	Any_smoking_during_pregnancy1	0.0504331468032075	518	261	0.0740905439893763	0.564481916829951
Any_smoking_during_pregnancy	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Klebsiella_s__Klebsiella_unclassified	Any_smoking_during_pregnancy1	0.0242498069313132	518	150	0.0754271595564304	0.565643936464393
Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Actinomyces_s__Actinomyces_graevenitzii	Any_smoking_during_pregnancy1	0.0302911165621355	518	101	0.0757132234643697	0.565643936464393
Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Actinomyces_s__Actinomyces_graevenitzii_t__Actinomyces_graevenitzii_unclassified	Any_smoking_during_pregnancy1	0.0302911165621355	518	101	0.0757132234643697	0.565643936464393
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia_s__Ruminococcus_gnavus	Any_smoking_during_pregnancy1	0.12355395564644	518	304	0.0771371303919846	0.573497795523016
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia_s__Ruminococcus_gnavus_t__Ruminococcus_gnavus_unclassified	Any_smoking_during_pregnancy1	0.12355395564644	518	304	0.0771371303919846	0.573497795523016
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname_s__Lachnospiraceae_bacterium_7_1_58FAA	Any_smoking_during_pregnancy1	0.0353411962389707	518	93	0.0808603004558125	0.595425848810983
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname_s__Lachnospiraceae_bacterium_7_1_58FAA_t__GCF_000242155	Any_smoking_during_pregnancy1	0.0353411962389707	518	93	0.0808603004558125	0.595425848810983
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Rikenellaceae_g__Alistipes_s__Alistipes_shahii	Any_smoking_during_pregnancy1	0.0654075355648318	518	56	0.0841525745716511	0.616718153646529
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Rikenellaceae_g__Alistipes_s__Alistipes_shahii_t__GCF_000210575	Any_smoking_during_pregnancy1	0.0654075355648318	518	56	0.0841525745716511	0.616718153646529
Any_smoking_during_pregnancy	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella	Any_smoking_during_pregnancy1	0.168334362361627	518	218	0.0857830511126381	0.62717394613943
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia_s__Ruminococcus_torques_t__Ruminococcus_torques_unclassified	Any_smoking_during_pregnancy1	0.137376220359765	518	311	0.0865548925385443	0.631317438942273
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiales_Family_XI_Incertae_Sedis	Any_smoking_during_pregnancy1	0.026318934867816	518	59	0.0871071190824393	0.633843292046686
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Parabacteroides_s__Parabacteroides_merdae	Any_smoking_during_pregnancy1	0.0752954637436395	518	81	0.112649462541189	0.788034194776772
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Parabacteroides_s__Parabacteroides_merdae_t__Parabacteroides_merdae_unclassified	Any_smoking_during_pregnancy1	0.0752954637436395	518	81	0.112649462541189	0.788034194776772
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_thetaiotaomicron_t__Bacteroides_thetaiotaomicron_unclassified	Any_smoking_during_pregnancy1	0.109880774534312	518	146	0.113134237596242	0.789630801181932
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptostreptococcaceae_g__Peptostreptococcaceae_noname_s__Peptostreptococcaceae_noname_unclassified	Any_smoking_during_pregnancy1	0.0850819882577366	518	135	0.115710260041316	0.797346583156286
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia_s__Ruminococcus_torques	Any_smoking_during_pregnancy1	0.117948009686705	518	323	0.116053043942175	0.797346583156286
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_thetaiotaomicron	Any_smoking_during_pregnancy1	0.108487160897767	518	146	0.117412015685446	0.801317481773401
Any_smoking_during_pregnancy	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Caudovirales	Any_smoking_during_pregnancy1	0.0644575954183035	518	104	0.121086288755031	0.82456547961944
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Subdoligranulum_s__Subdoligranulum_unclassified	Any_smoking_during_pregnancy1	0.112279703405529	518	275	0.122167052600581	0.828101605923806
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiales_noname	Any_smoking_during_pregnancy1	0.0460208380059715	518	173	0.12561094024011	0.844171340740301
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia	Any_smoking_during_pregnancy1	0.119608143241648	518	398	0.135212873622693	0.904750489153584
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname_s__Lachnospiraceae_bacterium_8_1_57FAA	Any_smoking_during_pregnancy1	0.0811892020846711	518	77	0.142735333346753	0.93211334114297
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname_s__Lachnospiraceae_bacterium_8_1_57FAA_t__GCF_000185545	Any_smoking_during_pregnancy1	0.0811892020846711	518	77	0.142735333346753	0.93211334114297
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Subdoligranulum	Any_smoking_during_pregnancy1	0.1083553719083	518	275	0.144216865648895	0.936496861745359
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae	Any_smoking_during_pregnancy1	0.0886979462877732	518	214	0.151622313297634	0.978393040524355
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname	Any_smoking_during_pregnancy1	0.0847011103221693	518	281	0.152133460428965	0.979637638494463
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae_g__Eubacterium	Any_smoking_during_pregnancy1	0.08806418388221	518	214	0.15572430334181	0.998582095179358
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae_g__Eubacterium_s__Eubacterium_eligens	Any_smoking_during_pregnancy1	-0.0795501814173454	518	103	0.163187397465843	1
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae_g__Eubacterium_s__Eubacterium_eligens_t__GCF_000146185	Any_smoking_during_pregnancy1	-0.0795501814173454	518	103	0.163187397465843	1
Any_smoking_during_pregnancy	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales	Any_smoking_during_pregnancy1	0.105421961578107	518	398	0.163407509856227	1
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Negativicutes_o__Selenomonadales_f__Veillonellaceae_g__Dialister	Any_smoking_during_pregnancy1	-0.0802036090557104	518	76	0.164898502358788	1
Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Negativicutes_o__Selenomonadales_f__Veillonellaceae_g__Dialister_s__Dialister_invisus	Any_smoking_during_pregnancy1	-0.0802036090557104	518	76	0.164898502358788	1
