Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
ageanyformula	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_parasanguinis	ageanyformula	-0.00181718106882704	518	417	0.0205255044031163	0.178973095050402
ageanyformula	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_parasanguinis_t__Streptococcus_parasanguinis_unclassified	ageanyformula	-0.00181718106882704	518	417	0.0205255044031163	0.178973095050402
ageanyformula	k__Bacteria_p__Firmicutes_c__Bacilli	ageanyformula	-0.00106785412031208	518	518	0.0541583728713466	0.434113207546888
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales	ageanyformula	-0.00106222921282635	518	420	0.0912369296889621	0.657675104408958
ageanyformula	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Parabacteroides_s__Parabacteroides_unclassified	ageanyformula	0.00113498167350345	518	153	0.109449887109236	0.77802945155249
ageanyformula	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_infantis	ageanyformula	0.000366649308883781	518	173	0.115459713519369	0.797346583156286
ageanyformula	k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales_f__Bacillales_noname_g__Gemella_s__Gemella_unclassified	ageanyformula	0.000145383843519597	518	148	0.115556834760091	0.797346583156286
ageanyformula	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_infantis_t__Streptococcus_infantis_unclassified	ageanyformula	0.000313110922880153	518	173	0.15723477003028	1
ageanyformula	k__Bacteria_p__Bacteroidetes_c__Bacteroidia	ageanyformula	0.0011908028558873	518	398	0.193932097549025	1
ageanyformula	k__Bacteria_p__Firmicutes_c__Negativicutes_o__Selenomonadales_f__Veillonellaceae_g__Veillonella_s__Veillonella_parvula	ageanyformula	-0.000340848582569042	518	261	0.234263263676697	1
ageanyformula	k__Bacteria_p__Firmicutes_c__Negativicutes_o__Selenomonadales_f__Veillonellaceae_g__Veillonella_s__Veillonella_parvula_t__Veillonella_parvula_unclassified	ageanyformula	-0.000340848582569042	518	261	0.234263263676697	1
ageanyformula	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae	ageanyformula	-0.000927702888453857	518	512	0.273372818653415	1
ageanyformula	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__Clostridium_s__Clostridium_perfringens	ageanyformula	-0.000406585091187619	518	70	0.363663130605061	1
ageanyformula	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__Clostridium_s__Clostridium_perfringens_t__Clostridium_perfringens_unclassified	ageanyformula	-0.000406585091187619	518	70	0.363663130605061	1
ageanyformula	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Caudovirales	ageanyformula	-0.000422801920226695	518	104	0.367484499335646	1
ageanyformula	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Parabacteroides_s__Parabacteroides_distasonis	ageanyformula	0.000597059843191687	518	154	0.392526740877506	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae_g__Rothia	ageanyformula	-0.000268847751669049	518	261	0.400159348919033	1
ageanyformula	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Parabacteroides_s__Parabacteroides_distasonis_t__Parabacteroides_distasonis_unclassified	ageanyformula	0.000574571779871067	518	154	0.400867708364705	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae_g__Rothia_s__Rothia_mucilaginosa	ageanyformula	-0.000239661428285927	518	257	0.428138572779268	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae_g__Rothia_s__Rothia_mucilaginosa_t__Rothia_mucilaginosa_unclassified	ageanyformula	-0.000239661428285927	518	257	0.428138572779268	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Micrococcaceae	ageanyformula	-0.000245784845589255	518	261	0.442506865230797	1
ageanyformula	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_dorei	ageanyformula	0.000611383994814193	518	159	0.459702104919492	1
ageanyformula	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_dorei_t__Bacteroides_dorei_unclassified	ageanyformula	0.000596935951939433	518	159	0.467417355993784	1
ageanyformula	k__Viruses_p__Viruses_noname	ageanyformula	-0.000329073865451775	518	155	0.499679627469163	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_pseudocatenulatum	ageanyformula	0.000604465493468178	518	158	0.572620995879463	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_pseudocatenulatum_t__GCF_000173435	ageanyformula	0.000604465493468178	518	158	0.572620995879463	1
ageanyformula	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_vulgatus	ageanyformula	-0.000487328640521524	518	195	0.647174932423156	1
ageanyformula	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_vulgatus_t__Bacteroides_vulgatus_unclassified	ageanyformula	-0.000487328640521524	518	195	0.647174932423156	1
ageanyformula	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Viruses_noname	ageanyformula	9.01064059644973e-05	518	65	0.671057862297833	1
ageanyformula	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae	ageanyformula	0.000337569085383533	518	384	0.729473076386326	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium	ageanyformula	-3.93152120583816e-05	518	482	0.787161757089101	1
ageanyformula	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_mitis_oralis_pneumoniae	ageanyformula	0.000127497680528411	518	383	0.804251426105027	1
ageanyformula	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_mitis_oralis_pneumoniae_t__Streptococcus_mitis_oralis_pneumoniae_unclassified	ageanyformula	0.000127497680528411	518	383	0.804251426105027	1
ageanyformula	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Haemophilus	ageanyformula	-9.08567452982835e-05	518	213	0.804585579863246	1
ageanyformula	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_vestibularis_t__Streptococcus_vestibularis_unclassified	ageanyformula	-0.000121702278266982	518	121	0.808352437573981	1
ageanyformula	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Haemophilus_s__Haemophilus_parainfluenzae_t__Haemophilus_parainfluenzae_unclassified	ageanyformula	-7.0753773391058e-05	518	207	0.827668955373483	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales	ageanyformula	-2.75697409794139e-05	518	486	0.888022437030411	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae	ageanyformula	-2.75697409794139e-05	518	486	0.888022437030411	1
ageanyformula	k__Bacteria_p__Firmicutes	ageanyformula	3.40857973580167e-05	518	518	0.906058320958302	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_adolescentis	ageanyformula	4.15139803082082e-05	518	193	0.944600727600186	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_bifidum	ageanyformula	-3.07058703422019e-05	518	231	0.951459823596576	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_bifidum_t__Bifidobacterium_bifidum_unclassified	ageanyformula	-3.07058703422019e-05	518	231	0.951459823596576	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_dentium	ageanyformula	1.9377617392652e-05	518	84	0.974906855595465	1
ageanyformula	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_dentium_t__Bifidobacterium_dentium_unclassified	ageanyformula	1.9377617392652e-05	518	84	0.974906855595465	1
