Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
bfduration	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae	bfduration	0.0016333054207469	518	213	0.0637884684761149	0.495810368609802
bfduration	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales	bfduration	0.00154229173485711	518	213	0.0882907683067203	0.640265915097222
bfduration	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Haemophilus	bfduration	0.00160946214841698	518	213	0.0902051272270879	0.651763806584452
bfduration	k__Bacteria_p__Firmicutes_c__Bacilli	bfduration	0.00228980453925606	518	518	0.108937682831589	0.776180990175074
bfduration	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Haemophilus_s__Haemophilus_parainfluenzae	bfduration	0.00127233640186072	518	207	0.110730750633064	0.780787533258455
bfduration	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Haemophilus_s__Haemophilus_parainfluenzae_t__Haemophilus_parainfluenzae_unclassified	bfduration	0.00132966114838489	518	207	0.11390933519687	0.793241931529338
bfduration	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Caudovirales_f__Siphoviridae	bfduration	-0.00168457749726011	518	83	0.116679230019508	0.799863407572483
bfduration	k__Viruses	bfduration	-0.00176216350793255	518	155	0.140346662416354	0.928590961207092
bfduration	k__Viruses_p__Viruses_noname_c__Viruses_noname	bfduration	-0.00176216350793255	518	155	0.140346662416354	0.928590961207092
bfduration	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Klebsiella_s__Klebsiella_pneumoniae	bfduration	-0.00174684333383622	518	62	0.142411965876361	0.93211334114297
bfduration	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Klebsiella_s__Klebsiella_pneumoniae_t__Klebsiella_pneumoniae_unclassified	bfduration	-0.00174684333383628	518	62	0.142411965876468	0.93211334114297
bfduration	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales	bfduration	0.00187578444049392	518	518	0.216439966764132	1
bfduration	k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales_f__Bacillales_noname	bfduration	-0.0008728493021138	518	238	0.233516972745234	1
bfduration	k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales_f__Bacillales_noname_g__Gemella	bfduration	-0.0008728493021138	518	238	0.233516972745234	1
bfduration	k__Viruses_p__Viruses_noname	bfduration	-0.0014937960004897	518	155	0.235482906642658	1
bfduration	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_parasanguinis	bfduration	0.00222399740410998	518	417	0.269079495974424	1
bfduration	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_parasanguinis_t__Streptococcus_parasanguinis_unclassified	bfduration	0.00222399740410998	518	417	0.269079495974424	1
bfduration	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae	bfduration	0.00234546329513994	518	512	0.282849502915878	1
bfduration	k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales_f__Bacillales_noname_g__Gemella_s__Gemella_unclassified	bfduration	-0.000230097194784905	518	148	0.335109933159474	1
bfduration	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Viruses_noname	bfduration	-0.000514694426424537	518	65	0.343897031582847	1
bfduration	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_catenulatum	bfduration	0.00130956541367482	518	107	0.372561601269145	1
bfduration	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_catenulatum_t__GCF_000173455	bfduration	0.00130956541367482	518	107	0.372561601269145	1
bfduration	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__Clostridium_s__Clostridium_citroniae_t__GCF_000233455	bfduration	-0.000520030822291262	518	55	0.380552536580769	1
bfduration	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_vulgatus	bfduration	-0.00240084501366938	518	195	0.381619309509691	1
