Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
caesar	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales	caesar1	-0.1226614895358	518	398	6.01082819768111e-06	7.34179729859621e-05
caesar	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella_s__Collinsella_aerofaciens	caesar1	-0.120954948853311	518	203	0.00113740125689647	0.0116697368957578
caesar	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella_s__Collinsella_aerofaciens_t__GCF_000169035	caesar1	-0.120954948853311	518	203	0.00113740125689647	0.0116697368957578
caesar	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Coriobacteriales_f__Coriobacteriaceae_g__Collinsella	caesar1	-0.114425239163871	518	218	0.00118151245001004	0.0120820442562489
caesar	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Haemophilus_s__Haemophilus_parainfluenzae	caesar1	0.031142390944748	518	207	0.00193535894153605	0.0194674340589803
caesar	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Haemophilus_s__Haemophilus_parainfluenzae_t__Haemophilus_parainfluenzae_unclassified	caesar1	0.0311244279698	518	207	0.00197447554705548	0.0197962076020741
caesar	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_vulgatus	caesar1	-0.100911858757527	518	195	0.00211046099578839	0.021022650307562
caesar	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_vulgatus_t__Bacteroides_vulgatus_unclassified	caesar1	-0.100911858757527	518	195	0.00211046099578839	0.021022650307562
caesar	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae	caesar1	0.0337137087079512	518	213	0.00233526325630134	0.0230382702015883
caesar	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Bacteroidaceae_g__Bacteroides_s__Bacteroides_thetaiotaomicron_t__Bacteroides_thetaiotaomicron_unclassified	caesar1	-0.0728570528545255	518	146	0.0032532812536882	0.0316886066419376
