Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
studygroup	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_animalis	studygroupplaceb	-0.283466620033677	518	100	1.92029463708152e-13	7.82869787143962e-12
studygroup	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_animalis_t__Bifidobacterium_animalis_unclassified	studygroupplaceb	-0.283466620033677	518	100	1.92029463708152e-13	7.82869787143962e-12
studygroup	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_animalis	studygrouplactob DR20	-0.278237887742452	518	100	7.90334483212887e-13	3.0599365274582e-11
studygroup	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_animalis_t__Bifidobacterium_animalis_unclassified	studygrouplactob DR20	-0.278237887742452	518	100	7.90334483212887e-13	3.0599365274582e-11
studygroup	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__Lactobacillus_rhamnosus	studygrouplactob DR20	0.28925933715926	518	179	1.02954057577159e-09	3.20093524467167e-08
studygroup	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__Lactobacillus_rhamnosus_t__Lactobacillus_rhamnosus_unclassified	studygrouplactob DR20	0.28925933715926	518	179	1.02954057577159e-09	3.20093524467167e-08
studygroup	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus	studygrouplactob DR20	0.204093710476927	518	265	4.61889451363547e-05	0.00106894415886992
studygroup	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae	studygrouplactob DR20	0.202916701686986	518	265	5.15354677460069e-05	0.00117937672655918
studygroup	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__Lactobacillus_rhamnosus	studygroupplaceb	-0.0585036965194208	518	179	0.190756051236365	1
studygroup	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus_s__Lactobacillus_rhamnosus_t__Lactobacillus_rhamnosus_unclassified	studygroupplaceb	-0.0585036965194208	518	179	0.190756051236365	1
studygroup	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae	studygroupplaceb	-0.0541725699692218	518	265	0.264861448797058	1
studygroup	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae_g__Lactobacillus	studygroupplaceb	-0.0533020506340512	518	265	0.272218157881805	1
studygroup	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Viruses_noname	studygroupplaceb	0.00869745401672775	518	65	0.418955102112999	1
studygroup	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales	studygrouplactob DR20	-0.00466773120634723	518	486	0.639741041703139	1
studygroup	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae	studygrouplactob DR20	-0.00466773120634723	518	486	0.639741041703139	1
studygroup	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Viruses_noname	studygrouplactob DR20	0.00485074083882134	518	65	0.656428426105482	1
studygroup	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales	studygroupplaceb	-0.00424554941967427	518	486	0.666826046582146	1
studygroup	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae	studygroupplaceb	-0.00424554941967427	518	486	0.666826046582146	1
