	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
1	ageanyformula	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_parasanguinis	ageanyformula	-0.00181718106882704	518	417	0.0205255044031163	0.178973095050402
2	ageanyformula	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus_s__Streptococcus_parasanguinis_t__Streptococcus_parasanguinis_unclassified	ageanyformula	-0.00181718106882704	518	417	0.0205255044031163	0.178973095050402
3	Antibiotics_before_3_months	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Caudovirales	Antibiotics_before_3_months1	0.0717001147544309	518	104	0.00231157897280665	0.0228779423739513
4	Antibiotics_before_3_months	k__Viruses_p__Viruses_noname	Antibiotics_before_3_months1	0.072076651638453	518	155	0.00319321811313476	0.0312023027054882
5	Antibiotics_before_3_months	k__Viruses	Antibiotics_before_3_months1	0.0708541326477108	518	155	0.00362314603148114	0.0346336754189409
6	Antibiotics_before_3_months	k__Viruses_p__Viruses_noname_c__Viruses_noname	Antibiotics_before_3_months1	0.0708541326477108	518	155	0.00362314603148114	0.0346336754189409
7	Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Roseburia_s__Roseburia_intestinalis	Antibiotics_before_3_months1	0.089449544303445	518	104	0.00970691644629379	0.0894547569511745
8	Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Roseburia_s__Roseburia_intestinalis_t__Roseburia_intestinalis_unclassified	Antibiotics_before_3_months1	0.089449544303445	518	104	0.00970691644629379	0.0894547569511745
9	Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Dorea_s__Dorea_unclassified	Antibiotics_before_3_months1	0.0592647498865447	518	95	0.0192397051148522	0.169684276055917
10	Antibiotics_before_3_months	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_dentium	Antibiotics_before_3_months1	0.0754046477001352	518	84	0.0196468824799812	0.172288046362912
11	Antibiotics_before_3_months	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_dentium_t__Bifidobacterium_dentium_unclassified	Antibiotics_before_3_months1	0.0754046477001352	518	84	0.0196468824799812	0.172288046362912
12	Antibiotics_before_3_months	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales	Antibiotics_before_3_months1	0.104774873762218	518	469	0.0234826191287468	0.200776393550785
13	Antibiotics_before_3_months	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae	Antibiotics_before_3_months1	0.104774873762218	518	469	0.0234826191287468	0.200776393550785
14	Antibiotics_before_3_months	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia	Antibiotics_before_3_months1	-0.0796178093846428	518	337	0.026916932759189	0.226987175432284
15	Antibiotics_before_3_months	k__Viruses_p__Viruses_noname_c__Viruses_noname_o__Caudovirales_f__Siphoviridae	Antibiotics_before_3_months1	0.0473211316524646	518	83	0.0297233102256506	0.248609643680849
16	Any_smoking_during_pregnancy	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Klebsiella_s__Klebsiella_oxytoca	Any_smoking_during_pregnancy1	0.0870783871670407	518	173	3.48745102457933e-07	4.74972312108637e-06
17	Any_smoking_during_pregnancy	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Klebsiella_s__Klebsiella_oxytoca_t__Klebsiella_oxytoca_unclassified	Any_smoking_during_pregnancy1	0.0870783871670407	518	173	3.48745102457933e-07	4.74972312108637e-06
18	Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Coprobacillus_s__Coprobacillus_unclassified	Any_smoking_during_pregnancy1	0.288925235061668	518	269	0.000543945793447392	0.00585407395884991
19	Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Carnobacteriaceae_g__Granulicatella_s__Granulicatella_elegans	Any_smoking_during_pregnancy1	0.0383085628538661	518	55	0.000566433074243106	0.00605375348097319
20	Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Carnobacteriaceae_g__Granulicatella_s__Granulicatella_elegans_t__GCF_000162475	Any_smoking_during_pregnancy1	0.0383085628538661	518	55	0.000566433074243106	0.00605375348097319
21	Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Erysipelotrichaceae_noname_s__Clostridium_ramosum	Any_smoking_during_pregnancy1	0.146053064429643	518	224	0.00102772287636375	0.0106559144511871
22	Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Erysipelotrichaceae_noname_s__Clostridium_ramosum_t__GCF_000154485	Any_smoking_during_pregnancy1	0.146053064429643	518	224	0.00102772287636375	0.0106559144511871
23	Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia	Any_smoking_during_pregnancy1	0.257230446917798	518	315	0.00103166423211623	0.0106559144511871
24	Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales	Any_smoking_during_pregnancy1	0.257230446917798	518	315	0.00103166423211623	0.0106559144511871
25	Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Erysipelotrichia_o__Erysipelotrichales_f__Erysipelotrichaceae	Any_smoking_during_pregnancy1	0.257230446917798	518	315	0.00103166423211623	0.0106559144511871
26	Any_smoking_during_pregnancy	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae	Any_smoking_during_pregnancy1	0.169005248449988	518	294	0.00125789994878751	0.0128205829217482
