Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Antibiotics_before_3_months	M00317	Antibiotics_before_3_months1	0.0142337476024949	654	451	8.9637866216488e-05	0.00101523146812769
Antibiotics_before_3_months	M00232	Antibiotics_before_3_months1	0.0124290651385976	654	469	0.00146903723187794	0.0148513627003551
Antibiotics_before_3_months	M00178	Antibiotics_before_3_months1	-0.0102228877663407	654	654	0.00159623518996643	0.0159192104080436
Antibiotics_before_3_months	M00324	Antibiotics_before_3_months1	0.0141210138912207	654	619	0.00185555285500219	0.0182586400932216
Antibiotics_before_3_months	M00229	Antibiotics_before_3_months1	0.0111662036170099	654	495	0.00191591417911646	0.0186045350551046
Antibiotics_before_3_months	M00002	Antibiotics_before_3_months1	-0.00725993570636221	654	654	0.00283117065276576	0.0265392475738797
Antibiotics_before_3_months	M00260	Antibiotics_before_3_months1	0.0128835211637224	654	431	0.00287688320584062	0.0265392475738797
Antibiotics_before_3_months	M00012	Antibiotics_before_3_months1	0.0150297478187997	654	586	0.00380014009931622	0.0342366658224766
Antibiotics_before_3_months	M00310	Antibiotics_before_3_months1	-0.00460538685363881	654	367	0.00380407398027518	0.0342366658224766
Antibiotics_before_3_months	M00025	Antibiotics_before_3_months1	0.0133378159770412	654	624	0.00746961906870827	0.0640997543337988
Antibiotics_before_3_months	M00278	Antibiotics_before_3_months1	0.0105391419305251	654	381	0.00759232511218364	0.0644038612964544
Antibiotics_before_3_months	M00150	Antibiotics_before_3_months1	0.0118431106180261	654	492	0.00773673408603652	0.0648830654033517
Antibiotics_before_3_months	M00064	Antibiotics_before_3_months1	0.013384532990173	654	617	0.00840782370951206	0.0689441544179989
Antibiotics_before_3_months	M00011	Antibiotics_before_3_months1	0.0138809414817879	654	560	0.00893910364338754	0.071707157487174
Antibiotics_before_3_months	M00359	Antibiotics_before_3_months1	-0.0173460119002397	654	639	0.00940868744680034	0.0746624874810608
Antibiotics_before_3_months	M00009	Antibiotics_before_3_months1	0.0139988127765336	654	559	0.0109371325283121	0.0840792063113989
Antibiotics_before_3_months	M00121	Antibiotics_before_3_months1	0.00977346460484162	654	641	0.0186528559395852	0.132363535417441
Antibiotics_before_3_months	M00336	Antibiotics_before_3_months1	0.00437615334958246	654	438	0.0203134976552546	0.142774869234075
Antibiotics_before_3_months	M00149	Antibiotics_before_3_months1	0.0110871012810962	654	521	0.0284901093450371	0.186068147757853
Antibiotics_before_3_months	M00311	Antibiotics_before_3_months1	-0.0125842789625487	654	500	0.0295662813834723	0.191402768956163
Antibiotics_before_3_months	M00051	Antibiotics_before_3_months1	-0.00564279241362832	654	654	0.0390868176183016	0.244458232222937
Antibiotics_before_3_months	M00019	Antibiotics_before_3_months1	0.016092949166882	654	495	0.0395713048351888	0.245408596372851
Antibiotics_before_3_months	M00207	Antibiotics_before_3_months1	-0.0110913145659094	654	624	0.0411052892911247	0.252797529140417
Antibiotics_before_3_months	M00008	Antibiotics_before_3_months1	0.00878328062802891	654	585	0.0498999362199068	0.300584330432527
Antibiotics_before_3_months	M00117	Antibiotics_before_3_months1	0.00329829655227695	654	471	0.0542081220180017	0.315004677553427
Antibiotics_before_3_months	M00319	Antibiotics_before_3_months1	0.00625842277567788	654	318	0.0551907620259822	0.315742499032364
Antibiotics_before_3_months	M00016	Antibiotics_before_3_months1	0.010125579350102	654	653	0.0575792605229644	0.319499956886825
Antibiotics_before_3_months	M00185	Antibiotics_before_3_months1	0.00956449251411884	654	603	0.0583607645018217	0.320341884453313
Antibiotics_before_3_months	M00060	Antibiotics_before_3_months1	0.00760297988551658	654	551	0.0587039689569399	0.320341884453313
Antibiotics_before_3_months	M00133	Antibiotics_before_3_months1	0.00890671807161689	654	616	0.0694264725209035	0.365976690860191
Antibiotics_before_3_months	M00300	Antibiotics_before_3_months1	0.000605646615576275	654	501	0.0700372455482825	0.366577923508032
Antibiotics_before_3_months	M00007	Antibiotics_before_3_months1	-0.00443399490691153	654	654	0.0884374651967495	0.456411533672735
Antibiotics_before_3_months	M00222	Antibiotics_before_3_months1	-0.00584371188500791	654	654	0.0899143697987397	0.458459253415741
Antibiotics_before_3_months	M00142	Antibiotics_before_3_months1	-0.00146411092164547	654	449	0.0900766825816836	0.458459253415741
Antibiotics_before_3_months	M00245	Antibiotics_before_3_months1	-0.00843063576176242	654	527	0.0960498838794552	0.475737008745221
Antibiotics_before_3_months	M00096	Antibiotics_before_3_months1	0.00814687635656224	654	653	0.0993525820268894	0.488814703572296
Antibiotics_before_3_months	M00001	Antibiotics_before_3_months1	-0.00554380874306387	654	654	0.107190087598492	0.520436083208468
Antibiotics_before_3_months	M00035	Antibiotics_before_3_months1	-0.0112533545056795	654	598	0.11768471285084	0.560331084412387
Antibiotics_before_3_months	M00115	Antibiotics_before_3_months1	-0.00896791455268738	654	649	0.122346920373624	0.577659112314523
Antibiotics_before_3_months	M00348	Antibiotics_before_3_months1	0.00465480200469074	654	600	0.122889540153632	0.577659112314523
Antibiotics_before_3_months	M00124	Antibiotics_before_3_months1	0.00661125796297476	654	529	0.124539124787988	0.581708063883133
Antibiotics_before_3_months	M00197	Antibiotics_before_3_months1	0.00676340740029153	654	654	0.13989143482023	0.636151620404431
Antibiotics_before_3_months	M00198	Antibiotics_before_3_months1	0.00648776004199392	654	619	0.141832034096327	0.63824415343347
Antibiotics_before_3_months	M00159	Antibiotics_before_3_months1	-0.0024571728075639	654	507	0.147232598336243	0.652256178922697
Antibiotics_before_3_months	M00230	Antibiotics_before_3_months1	0.00130776001866723	654	476	0.147597265420177	0.652256178922697
Antibiotics_before_3_months	M00048	Antibiotics_before_3_months1	-0.00421167602966123	654	654	0.155945260170469	0.680991727845007
Antibiotics_before_3_months	M00360	Antibiotics_before_3_months1	-0.00537436573929637	654	654	0.167015703263815	0.720804614085939
Antibiotics_before_3_months	M00045	Antibiotics_before_3_months1	-0.00361496714175113	654	590	0.17782777589046	0.754235049466435
Antibiotics_before_3_months	M00004	Antibiotics_before_3_months1	-0.00720463459676429	654	654	0.181282435086692	0.755855576802139
Antibiotics_before_3_months	M00126	Antibiotics_before_3_months1	-0.00612925897017712	654	653	0.20358831881122	0.839375303255196
Antibiotics_before_3_months	M00225	Antibiotics_before_3_months1	0.000493345937037256	654	475	0.212412204254696	0.866078490276052
Antibiotics_before_3_months	M00335	Antibiotics_before_3_months1	-0.00437440531215051	654	435	0.262675741257083	1
Antibiotics_before_3_months	M00144	Antibiotics_before_3_months1	-0.00415347415085176	654	400	0.263253800799452	1
Antibiotics_before_3_months	M00277	Antibiotics_before_3_months1	0.00503082029760903	654	608	0.284890838022439	1
Antibiotics_before_3_months	M00349	Antibiotics_before_3_months1	0.000661442742237474	654	522	0.338192494349862	1
Antibiotics_before_3_months	M00022	Antibiotics_before_3_months1	-0.00279624206742718	654	654	0.351115556115795	1
Antibiotics_before_3_months	M00026	Antibiotics_before_3_months1	-0.00508025704212477	654	591	0.355989689414688	1
Antibiotics_before_3_months	M00006	Antibiotics_before_3_months1	-0.00543794360020956	654	654	0.383390184781762	1
Antibiotics_before_3_months	M00194	Antibiotics_before_3_months1	0.00392461784869207	654	643	0.40695787695487	1
Antibiotics_before_3_months	M00028	Antibiotics_before_3_months1	0.00423666360836657	654	652	0.425452231873154	1
Antibiotics_before_3_months	M00299	Antibiotics_before_3_months1	-0.0044713603327914	654	652	0.450566434514553	1
Antibiotics_before_3_months	M00061	Antibiotics_before_3_months1	-0.00396112536832944	654	615	0.457189410111696	1
Antibiotics_before_3_months	M00226	Antibiotics_before_3_months1	0.000302475791243627	654	469	0.459793207105983	1
Antibiotics_before_3_months	M00276	Antibiotics_before_3_months1	0.00386544705277527	654	653	0.510806926208456	1
Antibiotics_before_3_months	M00239	Antibiotics_before_3_months1	0.00321568553888844	654	654	0.517374064252996	1
Antibiotics_before_3_months	M00287	Antibiotics_before_3_months1	0.00121728233752653	654	523	0.530786007589798	1
Antibiotics_before_3_months	M00237	Antibiotics_before_3_months1	0.00337991140025896	654	653	0.561551131081084	1
Antibiotics_before_3_months	M00018	Antibiotics_before_3_months1	-0.00230039015431051	654	654	0.576279155360998	1
Antibiotics_before_3_months	M00125	Antibiotics_before_3_months1	-0.00322050689287357	654	652	0.588303139774238	1
Antibiotics_before_3_months	M00127	Antibiotics_before_3_months1	0.00261175882515282	654	651	0.636728730109521	1
Antibiotics_before_3_months	M00233	Antibiotics_before_3_months1	-0.0044503799107914	654	557	0.646537955082127	1
Antibiotics_before_3_months	M00003	Antibiotics_before_3_months1	-0.00220848500635665	654	654	0.670764552770458	1
Antibiotics_before_3_months	M00049	Antibiotics_before_3_months1	-0.00186226415913528	654	654	0.694445814021919	1
Antibiotics_before_3_months	M00219	Antibiotics_before_3_months1	0.000674407083864476	654	336	0.789341070740837	1
Antibiotics_before_3_months	M00050	Antibiotics_before_3_months1	-0.00122006499925883	654	654	0.794112076782748	1
Antibiotics_before_3_months	M00119	Antibiotics_before_3_months1	0.00137931023680296	654	651	0.805926606585102	1
Antibiotics_before_3_months	M00017	Antibiotics_before_3_months1	-0.00101183264840117	654	654	0.823220130126257	1
Antibiotics_before_3_months	M00157	Antibiotics_before_3_months1	-0.000750963246934797	654	654	0.833951325164108	1
Antibiotics_before_3_months	M00164	Antibiotics_before_3_months1	-0.000750963246934797	654	654	0.833951325164108	1
Antibiotics_before_3_months	M00053	Antibiotics_before_3_months1	0.000862103043308793	654	651	0.854144257799344	1
Antibiotics_before_3_months	M00193	Antibiotics_before_3_months1	0.000315437403865652	654	647	0.966943889496044	1
Antibiotics_before_3_months	M00123	Antibiotics_before_3_months1	-0.000112832780987025	654	654	0.984757788472997	1
