Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
age_any_formula	M00121	age_any_formula	-9.29873776219602e-05	654	641	0.239421149551164	0.944881328175182
age_any_formula	M00096	age_any_formula	-0.000107488613186505	654	653	0.253579798512423	0.990168737048508
age_any_formula	M00276	age_any_formula	-0.000123696003807961	654	653	0.268122455102268	1
age_any_formula	M00127	age_any_formula	0.000116361545851461	654	651	0.26967790616383	1
age_any_formula	M00064	age_any_formula	-9.45498680343854e-05	654	617	0.325986102846432	1
age_any_formula	M00237	age_any_formula	-9.34962654229443e-05	654	653	0.399428460854959	1
age_any_formula	M00222	age_any_formula	-4.77450288620789e-05	654	654	0.466742561092229	1
age_any_formula	M00123	age_any_formula	8.01781533852587e-05	654	654	0.476286545294404	1
age_any_formula	M00219	age_any_formula	-1.93227440587789e-05	654	336	0.687906873471936	1
age_any_formula	M00045	age_any_formula	-1.13311433072847e-05	654	590	0.824174129797676	1
age_any_formula	M00277	age_any_formula	-1.95472039975095e-05	654	608	0.827426418552403	1
age_any_formula	M00048	age_any_formula	-1.20123357762276e-05	654	654	0.831692967069146	1
age_any_formula	M00115	age_any_formula	1.45998558126268e-05	654	649	0.894565216423723	1
age_any_formula	M00053	age_any_formula	9.81026998719981e-07	654	651	0.991138613092534	1
