Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
bfduration	M00017	bfduration	0.000860889721423882	654	654	0.000311827441199461	0.00333519784935076
bfduration	M00048	bfduration	0.000413087702389384	654	654	0.00866514424864349	0.070273367642845
bfduration	M00239	bfduration	0.000648230413531473	654	654	0.0130562357354949	0.0963550197279525
bfduration	M00233	bfduration	0.00116800441383076	654	557	0.0220341634035194	0.153407665960352
bfduration	M00299	bfduration	-0.000695917573191823	654	652	0.0249848794894534	0.170730009844599
bfduration	M00045	bfduration	-0.000303423604802105	654	590	0.0318947369364418	0.204470684889688
bfduration	M00127	bfduration	-0.000575735607006728	654	651	0.0494457543244192	0.300584330432527
bfduration	M00022	bfduration	0.000309045562328773	654	654	0.0509258866326134	0.303091163990877
bfduration	M00300	bfduration	-3.33646213309347e-05	654	501	0.0571391339540393	0.319459703470311
bfduration	M00123	bfduration	-0.000495801762363379	654	654	0.112981395636557	0.541430324544022
bfduration	M00277	bfduration	-0.000355587661286945	654	608	0.153703543200671	0.67519770763152
bfduration	M00222	bfduration	0.000248927522299977	654	654	0.172022361125528	0.733829494281153
bfduration	M00115	bfduration	0.000319839574215176	654	649	0.295899003505454	1
bfduration	M00237	bfduration	0.000294197864208624	654	653	0.339698702317722	1
bfduration	M00007	bfduration	0.000109006417348639	654	654	0.421517781709635	1
bfduration	M00276	bfduration	-0.000212385104832312	654	653	0.493324846499161	1
bfduration	M00035	bfduration	0.000206751708973529	654	598	0.582223690481535	1
bfduration	M00219	bfduration	-7.0118325161032e-05	654	336	0.599647986643085	1
bfduration	M00121	bfduration	-9.82417260311136e-05	654	641	0.654301992476738	1
bfduration	M00198	bfduration	-7.71949458312906e-05	654	619	0.737316597374328	1
bfduration	M00096	bfduration	7.86319104590353e-05	654	653	0.763486317376762	1
bfduration	M00064	bfduration	-4.27569059993876e-07	654	617	0.998723056104806	1
