Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
studygroup	M00278	studygrouplactob DR20	0.0166346167112604	654	381	0.000308042398491492	0.00640381098835834
studygroup	M00198	studygrouplactob DR20	0.0184737408897232	654	619	0.0003477974293266	0.0071298473011953
studygroup	M00278	studygroupplaceb	0.0134710991812521	654	381	0.00313778806161374	0.0544867668110809
studygroup	M00007	studygrouplactob DR20	-0.00840016837733674	654	654	0.00567057067316599	0.0862862094184846
studygroup	M00198	studygroupplaceb	0.0101269914209975	654	619	0.0470986738544017	0.472909133395217
studygroup	M00007	studygroupplaceb	-0.00594323274755118	654	654	0.0479459591700064	0.475737008745221
studygroup	M00045	studygrouplactob DR20	0.00480280402713827	654	590	0.124533978216354	0.977724211953932
studygroup	M00277	studygroupplaceb	0.00755664875948461	654	608	0.169740637622928	1
studygroup	M00319	studygroupplaceb	-0.00461915937711245	654	318	0.219894690798868	1
studygroup	M00277	studygrouplactob DR20	0.00563659563425706	654	608	0.305937807142893	1
studygroup	M00319	studygrouplactob DR20	-0.00234091390872131	654	318	0.537667579069518	1
studygroup	M00045	studygroupplaceb	-0.000717052367802398	654	590	0.816701736424486	1
