Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
time	M00310	time	0.00182076331637552	654	367	1.95147422314763e-144	1.44018797668295e-141
time	M00026	time	0.00428745973227267	654	591	3.40357499528632e-85	1.25591917326065e-82
time	M00359	time	0.00510450674949311	654	639	4.38521513078789e-83	1.07876292217382e-80
time	M00185	time	0.00376606843271785	654	603	6.68456808635145e-80	1.23330281193184e-77
time	M00360	time	0.00276275220961585	654	654	3.23309461765937e-74	4.77204765566522e-72
time	M00178	time	0.00197247414641736	654	654	1.214010477357e-58	1.49323288714911e-56
time	M00001	time	0.00207529765863406	654	654	1.85018612177597e-57	1.95062479695809e-55
time	M00245	time	0.00292613666830763	654	527	1.28111640881094e-53	1.1818298871281e-51
time	M00003	time	0.00291330443899894	654	654	5.17548502142372e-51	4.24389771756745e-49
time	M00197	time	0.00223184921989614	654	654	1.81043898665009e-40	1.33610397214776e-38
time	M00002	time	0.00116015116579058	654	654	2.99690526209398e-39	2.01065098493214e-37
time	M00016	time	0.00251095676118346	654	653	2.90066678065892e-38	1.78391007010524e-36
time	M00012	time	-0.00209858493757592	654	586	1.34310657884424e-29	7.62471273220807e-28
time	M00125	time	0.00233697404721185	654	652	4.87503436683223e-28	2.56983954480156e-26
time	M00126	time	-0.00185997217794408	654	653	3.27306461047567e-27	1.61034778835403e-25
time	M00019	time	-0.00298865649835252	654	495	7.97335833096583e-27	3.67771153015799e-25
time	M00119	time	0.00211403787168848	654	651	4.52983132974786e-26	1.96647971844348e-24
time	M00348	time	0.00112322144923979	654	600	1.33437055277526e-25	5.47091926637858e-24
time	M00009	time	-0.0020414340229554	654	559	1.56982940592603e-25	6.09754790301793e-24
time	M00011	time	-0.00196350150966727	654	560	2.1947921043886e-25	8.09878286519394e-24
time	M00061	time	0.0019585343584667	654	615	5.08495627016554e-25	1.78699891780103e-23
time	M00150	time	-0.00162472876217632	654	492	7.23474620260345e-25	2.42692849887334e-23
time	M00149	time	-0.00183051389150768	654	521	2.14964137540533e-24	6.89754493499625e-23
time	M00006	time	-0.00212304356366134	654	654	6.66327420677919e-22	2.0489568185846e-20
time	M00324	time	-0.00151211327748033	654	619	2.97165867487388e-21	8.77233640822769e-20
time	M00008	time	-0.00145393326760402	654	585	3.17673858644746e-20	9.01705029537778e-19
time	M00229	time	-0.00112551215455818	654	495	4.82993035246366e-19	1.29963460798221e-17
time	M00025	time	-0.00156046494412324	654	624	4.93086301131463e-19	1.29963460798221e-17
time	M00194	time	0.00142022495720444	654	643	1.26501092988032e-17	3.21923471121267e-16
time	M00017	time	-0.00129434524206736	654	654	3.38054564759327e-16	8.31614229307946e-15
time	M00207	time	0.00153526804304852	654	624	6.10785558565597e-16	1.4540636845852e-14
time	M00157	time	-0.0010130388677106	654	654	6.63677935467566e-16	1.48422520113656e-14
time	M00164	time	-0.0010130388677106	654	654	6.63677935467566e-16	1.48422520113656e-14
time	M00232	time	-0.00106159839090067	654	469	6.05441650364048e-15	1.31416452343726e-13
time	M00260	time	-0.0011327235538681	654	431	4.88231669845753e-14	1.02947134956047e-12
time	M00144	time	0.00094708845371158	654	400	2.43491989039554e-13	4.99158577531085e-12
time	M00193	time	-0.00190506860831181	654	647	6.65382238621564e-13	1.32716781649382e-11
time	M00230	time	-0.000224793847551293	654	476	8.42650512726384e-13	1.63651599576861e-11
time	M00278	time	-0.00097133447597224	654	381	1.01465801046844e-12	1.92004515827104e-11
time	M00317	time	-0.000841069553386803	654	451	2.0451275504588e-11	3.77326033059648e-10
