	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
1	Antibiotics_before_3_months	M00317	Antibiotics_before_3_months1	0.0142337476024949	654	451	8.9637866216488e-05	0.00101523146812769
2	Antibiotics_before_3_months	M00232	Antibiotics_before_3_months1	0.0124290651385976	654	469	0.00146903723187794	0.0148513627003551
3	Antibiotics_before_3_months	M00178	Antibiotics_before_3_months1	-0.0102228877663407	654	654	0.00159623518996643	0.0159192104080436
4	Antibiotics_before_3_months	M00324	Antibiotics_before_3_months1	0.0141210138912207	654	619	0.00185555285500219	0.0182586400932216
5	Antibiotics_before_3_months	M00229	Antibiotics_before_3_months1	0.0111662036170099	654	495	0.00191591417911646	0.0186045350551046
6	Antibiotics_before_3_months	M00002	Antibiotics_before_3_months1	-0.00725993570636221	654	654	0.00283117065276576	0.0265392475738797
7	Antibiotics_before_3_months	M00260	Antibiotics_before_3_months1	0.0128835211637224	654	431	0.00287688320584062	0.0265392475738797
8	Antibiotics_before_3_months	M00012	Antibiotics_before_3_months1	0.0150297478187997	654	586	0.00380014009931622	0.0342366658224766
9	Antibiotics_before_3_months	M00310	Antibiotics_before_3_months1	-0.00460538685363881	654	367	0.00380407398027518	0.0342366658224766
10	Antibiotics_before_3_months	M00025	Antibiotics_before_3_months1	0.0133378159770412	654	624	0.00746961906870827	0.0640997543337988
11	Antibiotics_before_3_months	M00278	Antibiotics_before_3_months1	0.0105391419305251	654	381	0.00759232511218364	0.0644038612964544
12	Antibiotics_before_3_months	M00150	Antibiotics_before_3_months1	0.0118431106180261	654	492	0.00773673408603652	0.0648830654033517
13	Antibiotics_before_3_months	M00064	Antibiotics_before_3_months1	0.013384532990173	654	617	0.00840782370951206	0.0689441544179989
14	Antibiotics_before_3_months	M00011	Antibiotics_before_3_months1	0.0138809414817879	654	560	0.00893910364338754	0.071707157487174
15	Antibiotics_before_3_months	M00359	Antibiotics_before_3_months1	-0.0173460119002397	654	639	0.00940868744680034	0.0746624874810608
16	Antibiotics_before_3_months	M00009	Antibiotics_before_3_months1	0.0139988127765336	654	559	0.0109371325283121	0.0840792063113989
17	Antibiotics_before_3_months	M00121	Antibiotics_before_3_months1	0.00977346460484162	654	641	0.0186528559395852	0.132363535417441
18	Antibiotics_before_3_months	M00336	Antibiotics_before_3_months1	0.00437615334958246	654	438	0.0203134976552546	0.142774869234075
19	Antibiotics_before_3_months	M00149	Antibiotics_before_3_months1	0.0110871012810962	654	521	0.0284901093450371	0.186068147757853
20	Antibiotics_before_3_months	M00311	Antibiotics_before_3_months1	-0.0125842789625487	654	500	0.0295662813834723	0.191402768956163
21	Antibiotics_before_3_months	M00051	Antibiotics_before_3_months1	-0.00564279241362832	654	654	0.0390868176183016	0.244458232222937
22	Antibiotics_before_3_months	M00019	Antibiotics_before_3_months1	0.016092949166882	654	495	0.0395713048351888	0.245408596372851
23	Any_smoking_during_pregnancy	M00133	Any_smoking_during_pregnancy1	0.0230388285769824	654	616	0.00803169494892727	0.0665998974416666
24	Any_smoking_during_pregnancy	M00150	Any_smoking_during_pregnancy1	0.0198647015750327	654	492	0.0115465373081005	0.0869524952385529
25	Any_smoking_during_pregnancy	M00011	Any_smoking_during_pregnancy1	0.0233260478865437	654	560	0.0129980007632871	0.0963550197279525
26	Any_smoking_during_pregnancy	M00197	Any_smoking_during_pregnancy1	0.0200355330530258	654	654	0.0135872667751509	0.0992812166342712
27	Any_smoking_during_pregnancy	M00009	Any_smoking_during_pregnancy1	0.0216283345410728	654	559	0.0261796086940288	0.177252763451314
28	Any_smoking_during_pregnancy	M00049	Any_smoking_during_pregnancy1	-0.0185735635335211	654	654	0.0270722795326813	0.181510254531501
29	Any_smoking_during_pregnancy	M00194	Any_smoking_during_pregnancy1	0.0184254783137279	654	643	0.0280173539944247	0.184614350427548
30	Any_smoking_during_pregnancy	M00003	Any_smoking_during_pregnancy1	0.0191131776071658	654	654	0.037880753484906	0.23894013736633
31	bfduration	M00017	bfduration	0.000860889721423882	654	654	0.000311827441199461	0.00333519784935076
32	bfduration	M00048	bfduration	0.000413087702389384	654	654	0.00866514424864349	0.070273367642845
33	bfduration	M00239	bfduration	0.000648230413531473	654	654	0.0130562357354949	0.0963550197279525
34	bfduration	M00233	bfduration	0.00116800441383076	654	557	0.0220341634035194	0.153407665960352
35	bfduration	M00299	bfduration	-0.000695917573191823	654	652	0.0249848794894534	0.170730009844599
36	bfduration	M00045	bfduration	-0.000303423604802105	654	590	0.0318947369364418	0.204470684889688
37	caesar	M00115	caesar1	-0.0220339065851186	654	649	1.21138316146499e-08	1.90212930459822e-07
38	caesar	M00276	caesar1	0.0189299813817992	654	653	1.25201516823487e-06	1.7433720644478e-05
39	caesar	M00035	caesar1	-0.0166237187288016	654	598	0.00049390855011536	0.00520720728550193
40	caesar	M00064	caesar1	0.00956894314973145	654	617	0.00423778297859103	0.0376805281710865
41	caesar	M00299	caesar1	0.0100246496481177	654	652	0.0106631551884362	0.0828358792533257
42	eczema_by_2_years	M00287	eczema_by_2_years1	0.00359771134056536	654	523	0.0143792258085321	0.104037927908791
43	studygroup	M00278	studygrouplactob DR20	0.0166346167112604	654	381	0.000308042398491492	0.00640381098835834
44	studygroup	M00198	studygrouplactob DR20	0.0184737408897232	654	619	0.0003477974293266	0.0071298473011953
46	studygroup	M00007	studygrouplactob DR20	-0.00840016837733674	654	654	0.00567057067316599	0.0862862094184846
45	studygroup	M00278	studygroupplaceb	0.0134710991812521	654	381	0.00313778806161374	0.0544867668110809
47	time	M00310	time	0.00182076331637552	654	367	1.95147422314763e-144	1.44018797668295e-141
48	time	M00026	time	0.00428745973227267	654	591	3.40357499528632e-85	1.25591917326065e-82
49	time	M00359	time	0.00510450674949311	654	639	4.38521513078789e-83	1.07876292217382e-80
50	time	M00185	time	0.00376606843271785	654	603	6.68456808635145e-80	1.23330281193184e-77
51	time	M00360	time	0.00276275220961585	654	654	3.23309461765937e-74	4.77204765566522e-72
52	time	M00178	time	0.00197247414641736	654	654	1.214010477357e-58	1.49323288714911e-56
53	time	M00001	time	0.00207529765863406	654	654	1.85018612177597e-57	1.95062479695809e-55
54	time	M00245	time	0.00292613666830763	654	527	1.28111640881094e-53	1.1818298871281e-51
55	time	M00003	time	0.00291330443899894	654	654	5.17548502142372e-51	4.24389771756745e-49
56	time	M00197	time	0.00223184921989614	654	654	1.81043898665009e-40	1.33610397214776e-38
57	time	M00002	time	0.00116015116579058	654	654	2.99690526209398e-39	2.01065098493214e-37
58	time	M00016	time	0.00251095676118346	654	653	2.90066678065892e-38	1.78391007010524e-36
59	time	M00012	time	-0.00209858493757592	654	586	1.34310657884424e-29	7.62471273220807e-28
60	time	M00125	time	0.00233697404721185	654	652	4.87503436683223e-28	2.56983954480156e-26
61	time	M00126	time	-0.00185997217794408	654	653	3.27306461047567e-27	1.61034778835403e-25
62	time	M00019	time	-0.00298865649835252	654	495	7.97335833096583e-27	3.67771153015799e-25
63	time	M00119	time	0.00211403787168848	654	651	4.52983132974786e-26	1.96647971844348e-24
64	time	M00348	time	0.00112322144923979	654	600	1.33437055277526e-25	5.47091926637858e-24
65	time	M00009	time	-0.0020414340229554	654	559	1.56982940592603e-25	6.09754790301793e-24
66	time	M00011	time	-0.00196350150966727	654	560	2.1947921043886e-25	8.09878286519394e-24
67	time	M00061	time	0.0019585343584667	654	615	5.08495627016554e-25	1.78699891780103e-23
68	time	M00150	time	-0.00162472876217632	654	492	7.23474620260345e-25	2.42692849887334e-23
69	time	M00149	time	-0.00183051389150768	654	521	2.14964137540533e-24	6.89754493499625e-23
70	time	M00006	time	-0.00212304356366134	654	654	6.66327420677919e-22	2.0489568185846e-20
71	time	M00324	time	-0.00151211327748033	654	619	2.97165867487388e-21	8.77233640822769e-20
72	time	M00008	time	-0.00145393326760402	654	585	3.17673858644746e-20	9.01705029537778e-19
73	time	M00229	time	-0.00112551215455818	654	495	4.82993035246366e-19	1.29963460798221e-17
74	time	M00025	time	-0.00156046494412324	654	624	4.93086301131463e-19	1.29963460798221e-17
75	time	M00194	time	0.00142022495720444	654	643	1.26501092988032e-17	3.21923471121267e-16
