Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Any_smoking_during_pregnancy	ko03430	Any_smoking_during_pregnancy1	-0.00443185658664731	654	654	0.00164371497192812	0.0150282511719142
Any_smoking_during_pregnancy	ko00791	Any_smoking_during_pregnancy1	0.00674797066284824	654	653	0.0022103527194685	0.0187229877413802
Any_smoking_during_pregnancy	ko00473	Any_smoking_during_pregnancy1	-0.011323478905043	654	654	0.00454891993781927	0.0354078092457284
Any_smoking_during_pregnancy	ko00630	Any_smoking_during_pregnancy1	0.00673872661512695	654	654	0.00564046661575349	0.0427487996141317
Any_smoking_during_pregnancy	ko00400	Any_smoking_during_pregnancy1	-0.00588451946645693	654	654	0.00615359694406244	0.0463329652258819
Any_smoking_during_pregnancy	ko03440	Any_smoking_during_pregnancy1	-0.00399052372268186	654	654	0.00780948925284045	0.0580421394791754
Any_smoking_during_pregnancy	ko05111	Any_smoking_during_pregnancy1	0.00311738637030139	654	649	0.00889333344563157	0.0648425324643517
Any_smoking_during_pregnancy	ko03030	Any_smoking_during_pregnancy1	-0.00489455680000325	654	654	0.0119512030225956	0.0809869757766478
Any_smoking_during_pregnancy	ko00900	Any_smoking_during_pregnancy1	-0.00420563013697017	654	654	0.0126166438337852	0.0840137207891365
Any_smoking_during_pregnancy	ko00910	Any_smoking_during_pregnancy1	0.00438709598104146	654	654	0.0134119349963682	0.0882888520903778
Any_smoking_during_pregnancy	ko00670	Any_smoking_during_pregnancy1	-0.00363095358228249	654	654	0.0195855064929536	0.120581668865866
Any_smoking_during_pregnancy	ko00340	Any_smoking_during_pregnancy1	-0.00706041881229123	654	654	0.0239280131350535	0.143568078810321
Any_smoking_during_pregnancy	ko00440	Any_smoking_during_pregnancy1	-0.00386454950797794	654	654	0.0247234664631762	0.145815876265011
Any_smoking_during_pregnancy	ko00710	Any_smoking_during_pregnancy1	0.00345093580277671	654	648	0.0418377939572404	0.225220274012808
Any_smoking_during_pregnancy	ko04122	Any_smoking_during_pregnancy1	0.00616842971009426	654	654	0.0494251357400555	0.259989755125772
Any_smoking_during_pregnancy	ko00040	Any_smoking_during_pregnancy1	0.00593826029561861	654	654	0.0570935466621785	0.294940653609101
Any_smoking_during_pregnancy	ko00920	Any_smoking_during_pregnancy1	0.00333180235926764	654	654	0.0618295919681835	0.309685608466728
Any_smoking_during_pregnancy	ko00310	Any_smoking_during_pregnancy1	0.00918263173145733	654	653	0.0635235294112765	0.316792666154937
Any_smoking_during_pregnancy	ko02030	Any_smoking_during_pregnancy1	0.0133175154182953	654	624	0.0651413530800871	0.32240676356003
Any_smoking_during_pregnancy	ko00071	Any_smoking_during_pregnancy1	0.00352288986572887	654	654	0.0658122048580322	0.323998546993389
Any_smoking_during_pregnancy	ko03410	Any_smoking_during_pregnancy1	-0.00302743535601472	654	654	0.0692875388206902	0.33397173523613
Any_smoking_during_pregnancy	ko00052	Any_smoking_during_pregnancy1	0.00303842914996436	654	654	0.0717078583751203	0.341264960905974
Any_smoking_during_pregnancy	ko01053	Any_smoking_during_pregnancy1	0.00827744502231241	654	654	0.0720569478790975	0.341264960905974
Any_smoking_during_pregnancy	ko00550	Any_smoking_during_pregnancy1	-0.00484335035467697	654	654	0.0775059206540055	0.361485103617062
Any_smoking_during_pregnancy	ko02020	Any_smoking_during_pregnancy1	0.00552188646108456	654	654	0.0790331364272325	0.367121665984564
Any_smoking_during_pregnancy	ko02010	Any_smoking_during_pregnancy1	0.00346758683416927	654	654	0.0833321003728656	0.380946744561671
Any_smoking_during_pregnancy	ko00053	Any_smoking_during_pregnancy1	0.0106782064742022	654	654	0.0846010541287231	0.385219029076241
Any_smoking_during_pregnancy	ko00906	Any_smoking_during_pregnancy1	-0.00177828506825388	654	637	0.0859070560119202	0.389625702857213
Any_smoking_during_pregnancy	ko00240	Any_smoking_during_pregnancy1	-0.00210023684502514	654	654	0.0932620564478078	0.417093763732144
Any_smoking_during_pregnancy	ko00603	Any_smoking_during_pregnancy1	-0.000985968695366075	654	612	0.093411624169178	0.417093763732144
Any_smoking_during_pregnancy	ko00680	Any_smoking_during_pregnancy1	0.00149446861740892	654	654	0.0938681689105113	0.417514017702351
Any_smoking_during_pregnancy	ko05150	Any_smoking_during_pregnancy1	-0.00439136421658525	654	654	0.0955540722769302	0.423378043319321
Any_smoking_during_pregnancy	ko00623	Any_smoking_during_pregnancy1	0.00943361006662812	654	259	0.100004582827728	0.438087611696491
Any_smoking_during_pregnancy	ko00790	Any_smoking_during_pregnancy1	-0.00576117833168135	654	654	0.100395077680446	0.438087611696491
Any_smoking_during_pregnancy	ko00908	Any_smoking_during_pregnancy1	-0.0027308537152115	654	654	0.109331758349516	0.469963379174039
Any_smoking_during_pregnancy	ko00380	Any_smoking_during_pregnancy1	0.00233238657763234	654	654	0.114766461094311	0.487863332769912
Any_smoking_during_pregnancy	ko00510	Any_smoking_during_pregnancy1	-0.00261274027341992	654	652	0.129908612735957	0.54618511632052
Any_smoking_during_pregnancy	ko00311	Any_smoking_during_pregnancy1	-0.00560129263649123	654	651	0.139422576909742	0.579770693406329
Any_smoking_during_pregnancy	ko00531	Any_smoking_during_pregnancy1	-0.00606651460765849	654	634	0.149067572665856	0.603950882725401
Any_smoking_during_pregnancy	ko03060	Any_smoking_during_pregnancy1	-0.00279860037213776	654	654	0.154057055385478	0.616228221541913
Any_smoking_during_pregnancy	ko00061	Any_smoking_during_pregnancy1	-0.00506285145442943	654	654	0.167114372299604	0.661566174876784
Any_smoking_during_pregnancy	ko00410	Any_smoking_during_pregnancy1	0.0109096083986613	654	443	0.168003984008913	0.66281023828174
Any_smoking_during_pregnancy	ko00430	Any_smoking_during_pregnancy1	0.00920925520537984	654	592	0.173019754348729	0.673374179086945
Any_smoking_during_pregnancy	ko00280	Any_smoking_during_pregnancy1	-0.00136446771035957	654	654	0.174759182788461	0.675579122725863
Any_smoking_during_pregnancy	ko00600	Any_smoking_during_pregnancy1	0.00620244573527349	654	601	0.182427895966764	0.700523120512373
Any_smoking_during_pregnancy	ko00830	Any_smoking_during_pregnancy1	-0.000874814311231819	654	647	0.195730821414705	0.743978019141942
Any_smoking_during_pregnancy	ko00562	Any_smoking_during_pregnancy1	-0.00187175250427715	654	654	0.208006544204646	0.775480708491108
Any_smoking_during_pregnancy	ko00740	Any_smoking_during_pregnancy1	0.0055711021191493	654	654	0.210035278061956	0.778008489798628
Any_smoking_during_pregnancy	ko04141	Any_smoking_during_pregnancy1	-0.00211377316903993	654	653	0.211082420375296	0.779381244462631
Any_smoking_during_pregnancy	ko00640	Any_smoking_during_pregnancy1	0.00146717290717746	654	654	0.217641780460811	0.796611069797175
Any_smoking_during_pregnancy	ko05120	Any_smoking_during_pregnancy1	-0.00106563102886716	654	654	0.222920919490951	0.812673731815114
Any_smoking_during_pregnancy	ko05100	Any_smoking_during_pregnancy1	0.00139107181022849	654	651	0.224418060704745	0.815550807356044
Any_smoking_during_pregnancy	ko00471	Any_smoking_during_pregnancy1	-0.00401156254628898	654	654	0.240522273435187	0.868594542311396
Any_smoking_during_pregnancy	ko04626	Any_smoking_during_pregnancy1	0.00142502078691016	654	654	0.241522719524654	0.869481790288753
Any_smoking_during_pregnancy	ko02040	Any_smoking_during_pregnancy1	0.0082247230577063	654	654	0.250978057198742	0.884179577654283
Any_smoking_during_pregnancy	ko04112	Any_smoking_during_pregnancy1	-0.00151037467077636	654	654	0.255871766040169	0.890526508997809
Any_smoking_during_pregnancy	ko00312	Any_smoking_during_pregnancy1	-0.000948432246093312	654	596	0.263780285156015	0.909805055388411
Any_smoking_during_pregnancy	ko00330	Any_smoking_during_pregnancy1	0.0013143421587496	654	654	0.287042719064615	0.964061843622263
Any_smoking_during_pregnancy	ko00020	Any_smoking_during_pregnancy1	0.0020736156218772	654	654	0.290677547502794	0.970610245574547
Any_smoking_during_pregnancy	ko00565	Any_smoking_during_pregnancy1	-0.000946888743398305	654	318	0.303056924010078	0.994544929614372
Any_smoking_during_pregnancy	ko05143	Any_smoking_during_pregnancy1	0.00333469664078068	654	466	0.304747973808729	0.994544929614372
Any_smoking_during_pregnancy	ko04711	Any_smoking_during_pregnancy1	-0.000662629966131131	654	551	0.315345460592924	1
Any_smoking_during_pregnancy	ko00521	Any_smoking_during_pregnancy1	-0.00435839225174009	654	654	0.31570943262487	1
Any_smoking_during_pregnancy	ko04146	Any_smoking_during_pregnancy1	0.00183483136439757	654	635	0.322585924205422	1
Any_smoking_during_pregnancy	ko04210	Any_smoking_during_pregnancy1	-0.000796679138947952	654	646	0.342882997740181	1
Any_smoking_during_pregnancy	ko00350	Any_smoking_during_pregnancy1	-0.00140587500920793	654	654	0.348489429725085	1
Any_smoking_during_pregnancy	ko04974	Any_smoking_during_pregnancy1	-0.00252340524008994	654	654	0.351424962547729	1
Any_smoking_during_pregnancy	ko00625	Any_smoking_during_pregnancy1	0.00761827225219324	654	216	0.3550464254158	1
Any_smoking_during_pregnancy	ko00970	Any_smoking_during_pregnancy1	-0.00281035447081873	654	654	0.357724560206989	1
Any_smoking_during_pregnancy	ko00520	Any_smoking_during_pregnancy1	-0.000925885437693116	654	654	0.359543042954241	1
Any_smoking_during_pregnancy	ko04910	Any_smoking_during_pregnancy1	-0.00122959996816765	654	644	0.366546042991953	1
Any_smoking_during_pregnancy	ko00511	Any_smoking_during_pregnancy1	-0.00294314524400558	654	654	0.367139182792107	1
Any_smoking_during_pregnancy	ko00540	Any_smoking_during_pregnancy1	0.0072171516577492	654	654	0.391578069978304	1
Any_smoking_during_pregnancy	ko00300	Any_smoking_during_pregnancy1	-0.00226489048421996	654	654	0.392099190631099	1
Any_smoking_during_pregnancy	ko00624	Any_smoking_during_pregnancy1	0.00352952167859795	654	261	0.424607867120294	1
Any_smoking_during_pregnancy	ko00480	Any_smoking_during_pregnancy1	0.00152970541471847	654	654	0.425443406438489	1
Any_smoking_during_pregnancy	ko00720	Any_smoking_during_pregnancy1	0.000925749043791444	654	654	0.436619017629667	1
Any_smoking_during_pregnancy	ko00250	Any_smoking_during_pregnancy1	0.00152631565448652	654	654	0.454128205689417	1
Any_smoking_during_pregnancy	ko00260	Any_smoking_during_pregnancy1	-0.00103262383461194	654	654	0.464608100333515	1
Any_smoking_during_pregnancy	ko00564	Any_smoking_during_pregnancy1	0.00138953826749606	654	654	0.464868266075756	1
Any_smoking_during_pregnancy	ko00360	Any_smoking_during_pregnancy1	-0.00105735378472935	654	654	0.467939219539758	1
Any_smoking_during_pregnancy	ko00190	Any_smoking_during_pregnancy1	0.000826724425143236	654	654	0.471471441977783	1
Any_smoking_during_pregnancy	ko05142	Any_smoking_during_pregnancy1	-0.00156071942915054	654	286	0.510710831959879	1
Any_smoking_during_pregnancy	ko00621	Any_smoking_during_pregnancy1	-0.00425327463551008	654	148	0.510848069460333	1
Any_smoking_during_pregnancy	ko00620	Any_smoking_during_pregnancy1	0.00137933727553715	654	654	0.517711197036541	1
Any_smoking_during_pregnancy	ko00051	Any_smoking_during_pregnancy1	0.00298975797959756	654	654	0.534041216499694	1
Any_smoking_during_pregnancy	ko00270	Any_smoking_during_pregnancy1	-0.00100380824935923	654	654	0.548579951856558	1
Any_smoking_during_pregnancy	ko00860	Any_smoking_during_pregnancy1	0.00194208087647665	654	654	0.555696500519809	1
Any_smoking_during_pregnancy	ko00030	Any_smoking_during_pregnancy1	0.000903194450207617	654	654	0.559795985781084	1
Any_smoking_during_pregnancy	ko00633	Any_smoking_during_pregnancy1	0.00275035178773562	654	654	0.574652875903029	1
Any_smoking_during_pregnancy	ko00561	Any_smoking_during_pregnancy1	-0.00120606479279395	654	654	0.580114984045942	1
Any_smoking_during_pregnancy	ko00780	Any_smoking_during_pregnancy1	0.00252338885212787	654	654	0.587437200881449	1
Any_smoking_during_pregnancy	ko00140	Any_smoking_during_pregnancy1	-0.00100978734324912	654	587	0.588630502685212	1
Any_smoking_during_pregnancy	ko00627	Any_smoking_during_pregnancy1	0.0018801211866566	654	654	0.593565218464052	1
Any_smoking_during_pregnancy	ko03070	Any_smoking_during_pregnancy1	0.00104696903118464	654	654	0.597173801144719	1
Any_smoking_during_pregnancy	ko00930	Any_smoking_during_pregnancy1	-0.000400759277530995	654	495	0.598280770836032	1
Any_smoking_during_pregnancy	ko01040	Any_smoking_during_pregnancy1	0.00125657619258486	654	654	0.609091466079777	1
Any_smoking_during_pregnancy	ko03050	Any_smoking_during_pregnancy1	-0.00137831062146224	654	650	0.618982482865745	1
Any_smoking_during_pregnancy	ko00650	Any_smoking_during_pregnancy1	0.000734854422627539	654	654	0.620575093543746	1
Any_smoking_during_pregnancy	ko03008	Any_smoking_during_pregnancy1	-0.00075294062929358	654	654	0.621028214790982	1
Any_smoking_during_pregnancy	ko00450	Any_smoking_during_pregnancy1	0.000910810683964813	654	654	0.623102181058609	1
Any_smoking_during_pregnancy	ko03018	Any_smoking_during_pregnancy1	0.000560142800571873	654	654	0.638953654076067	1
Any_smoking_during_pregnancy	ko00785	Any_smoking_during_pregnancy1	-0.0022936349280645	654	654	0.650944350524954	1
Any_smoking_during_pregnancy	ko00903	Any_smoking_during_pregnancy1	-0.00169734262567387	654	286	0.683510288594933	1
Any_smoking_during_pregnancy	ko04530	Any_smoking_during_pregnancy1	0.000228836129094202	654	506	0.702976277914974	1
Any_smoking_during_pregnancy	ko02060	Any_smoking_during_pregnancy1	0.00188261965762187	654	654	0.735356117790209	1
Any_smoking_during_pregnancy	ko00361	Any_smoking_during_pregnancy1	-0.000484576991279759	654	431	0.762594250278106	1
Any_smoking_during_pregnancy	ko00500	Any_smoking_during_pregnancy1	-0.000568690978585906	654	654	0.774995733198632	1
Any_smoking_during_pregnancy	ko00626	Any_smoking_during_pregnancy1	0.00173102631878274	654	127	0.789869153078003	1
Any_smoking_during_pregnancy	ko03020	Any_smoking_during_pregnancy1	0.000319835981634501	654	654	0.790405254908566	1
Any_smoking_during_pregnancy	ko00770	Any_smoking_during_pregnancy1	-0.000401005223851457	654	654	0.804104768661326	1
Any_smoking_during_pregnancy	ko00010	Any_smoking_during_pregnancy1	0.00038423775027488	654	654	0.813158924206261	1
Any_smoking_during_pregnancy	ko00750	Any_smoking_during_pregnancy1	0.000589877172132104	654	654	0.823051293467236	1
Any_smoking_during_pregnancy	ko04621	Any_smoking_during_pregnancy1	-0.000335592018453167	654	462	0.824093587624134	1
Any_smoking_during_pregnancy	ko00281	Any_smoking_during_pregnancy1	0.0011460066147342	654	596	0.84240886605128	1
Any_smoking_during_pregnancy	ko00730	Any_smoking_during_pregnancy1	-0.000381704514270211	654	654	0.876815923210199	1
Any_smoking_during_pregnancy	ko03010	Any_smoking_during_pregnancy1	0.000456136246056524	654	654	0.905300385388524	1
Any_smoking_during_pregnancy	ko00290	Any_smoking_during_pregnancy1	-0.000463313460058573	654	654	0.90901939411688	1
