Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
age_any_formula	ko02060	age_any_formula	-0.000139290944517057	654	654	0.0196782584607489	0.120581668865866
age_any_formula	ko05150	age_any_formula	-6.39158969678332e-05	654	654	0.0234988407255332	0.141731227831488
age_any_formula	ko00720	age_any_formula	2.54798877986357e-05	654	654	0.0458484715545456	0.244525181624243
age_any_formula	ko00520	age_any_formula	-2.04946525387647e-05	654	654	0.0579463978807546	0.298010046243881
age_any_formula	ko00430	age_any_formula	0.000136335695763046	654	592	0.0595703940718783	0.302313189298695
age_any_formula	ko00510	age_any_formula	3.36920454873164e-05	654	652	0.0683081411603722	0.33397173523613
age_any_formula	ko00750	age_any_formula	4.26334085857117e-05	654	654	0.130701459622881	0.547520296311122
age_any_formula	ko04621	age_any_formula	-2.32924078572402e-05	654	462	0.149414931924253	0.603950882725401
age_any_formula	ko00311	age_any_formula	-5.34055918314153e-05	654	651	0.184922743921616	0.707744189361135
age_any_formula	ko00361	age_any_formula	2.11816872653714e-05	654	431	0.213446455157367	0.785592064988135
age_any_formula	ko00983	age_any_formula	1.94014711844497e-05	654	651	0.24503206996045	0.876108592701703
age_any_formula	ko00860	age_any_formula	4.00280272139689e-05	654	654	0.256920272389123	0.891146468342398
age_any_formula	ko00040	age_any_formula	3.42683257482399e-05	654	654	0.304752048744682	0.994544929614372
age_any_formula	ko00630	age_any_formula	2.62542228351106e-05	654	654	0.31267316765115	1
age_any_formula	ko00910	age_any_formula	1.79183726111008e-05	654	654	0.341151278217689	1
age_any_formula	ko00340	age_any_formula	3.14271344806515e-05	654	654	0.346721261991934	1
age_any_formula	ko00906	age_any_formula	-1.01963994957522e-05	654	637	0.356732929015429	1
age_any_formula	ko00623	age_any_formula	-5.58421224849617e-05	654	259	0.362887421356234	1
age_any_formula	ko00650	age_any_formula	-1.42148541556405e-05	654	654	0.370924804244766	1
age_any_formula	ko00270	age_any_formula	1.59117149311742e-05	654	654	0.374247945646224	1
age_any_formula	ko00621	age_any_formula	-6.02046189368038e-05	654	148	0.384844645518014	1
age_any_formula	ko00020	age_any_formula	1.7267740869602e-05	654	654	0.411187493812247	1
age_any_formula	ko04530	age_any_formula	-4.98360009032421e-06	654	506	0.438153717519271	1
age_any_formula	ko00281	age_any_formula	4.56798842394487e-05	654	596	0.459373872651626	1
age_any_formula	ko02040	age_any_formula	5.65232417795133e-05	654	654	0.461578898709945	1
age_any_formula	ko00603	age_any_formula	-4.19515109653863e-06	654	612	0.504649672367336	1
age_any_formula	ko00260	age_any_formula	9.79567505908322e-06	654	654	0.516158677772031	1
age_any_formula	ko00071	age_any_formula	1.08087492343559e-05	654	654	0.597690912165096	1
age_any_formula	ko00780	age_any_formula	2.61499567225915e-05	654	654	0.599036203534305	1
age_any_formula	ko00400	age_any_formula	1.06163726629244e-05	654	654	0.643487702391862	1
age_any_formula	ko00600	age_any_formula	2.26455238501982e-05	654	601	0.650240336699221	1
age_any_formula	ko02030	age_any_formula	3.24205776323436e-05	654	624	0.674205099300159	1
age_any_formula	ko00633	age_any_formula	-1.16939206728059e-05	654	654	0.822384254240689	1
age_any_formula	ko04711	age_any_formula	1.31922015325998e-06	654	551	0.851606262116639	1
age_any_formula	ko00500	age_any_formula	3.20653758226191e-06	654	654	0.880362354459364	1
age_any_formula	ko04141	age_any_formula	-1.85893252638013e-06	654	653	0.918406495279085	1
