Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
bfduration	ko00471	bfduration	0.000398301412711567	654	654	8.72130925547898e-05	0.000938967127318858
bfduration	ko03008	bfduration	0.00014951299940283	654	654	0.000933924888404229	0.00881870058558747
bfduration	ko00640	bfduration	-0.000107950835079618	654	654	0.00217926488252189	0.0186801788294476
bfduration	ko00051	bfduration	-0.000436108585303658	654	654	0.00218908345657589	0.0186801788294476
bfduration	ko00310	bfduration	-0.000377303244365446	654	653	0.00994402050602626	0.0702792124106887
bfduration	ko00190	bfduration	-8.32701795513634e-05	654	654	0.0142804641864228	0.0934721292202219
bfduration	ko03050	bfduration	0.000196060701282944	654	650	0.0167486195506607	0.105785300633727
bfduration	ko00040	bfduration	-0.000222484060749751	654	654	0.0169182365677052	0.105922872423893
bfduration	ko00561	bfduration	-0.000139206992247929	654	654	0.030750647005399	0.171134035508308
bfduration	ko00791	bfduration	-0.000129149045229418	654	653	0.0469211812861365	0.249093091436079
bfduration	ko00720	bfduration	-6.80245762521831e-05	654	654	0.0555440226820939	0.289532643121141
bfduration	ko05120	bfduration	4.70094003494069e-05	654	654	0.0689424490184248	0.33397173523613
bfduration	ko00030	bfduration	-8.20539857869132e-05	654	654	0.071760987493594	0.341264960905974
bfduration	ko03013	bfduration	-8.8082477740787e-05	654	654	0.0722818146363349	0.341264960905974
bfduration	ko00660	bfduration	0.000223527599850685	654	654	0.075263726576828	0.353893114353085
bfduration	ko00906	bfduration	-4.96597998065272e-05	654	637	0.10606961387136	0.461102623320026
bfduration	ko00340	bfduration	0.000149670629919594	654	654	0.107732856899921	0.466572372739506
bfduration	ko00521	bfduration	0.000205643400024899	654	654	0.109240381240421	0.469963379174039
bfduration	ko00900	bfduration	7.85488675053799e-05	654	654	0.11424123380446	0.487429264232363
bfduration	ko00270	bfduration	7.8195797500968e-05	654	654	0.117040445221784	0.495700709174616
bfduration	ko00860	bfduration	-0.000152744218338569	654	654	0.120455625534598	0.508296265992151
bfduration	ko04530	bfduration	2.56472863125712e-05	654	506	0.152131019399222	0.610644370550186
bfduration	ko04141	bfduration	7.17566243502442e-05	654	653	0.157347233099358	0.627211116022356
bfduration	ko02020	bfduration	-0.000127521603113733	654	654	0.169530985440258	0.664989509527456
bfduration	ko00380	bfduration	-5.63678288712675e-05	654	654	0.196327532829124	0.743978019141942
bfduration	ko00061	bfduration	-0.000124556777564887	654	654	0.24928176807862	0.880897536277824
bfduration	ko00630	bfduration	-8.2609082390723e-05	654	654	0.254000135378485	0.889386492267522
bfduration	ko00400	bfduration	7.26167306671926e-05	654	654	0.255798275756606	0.890526508997809
bfduration	ko00750	bfduration	8.65884148575016e-05	654	654	0.268440063036798	0.916630866556119
bfduration	ko00623	bfduration	-0.000188965074505496	654	259	0.268942042444417	0.916630866556119
bfduration	ko01053	bfduration	-0.000147881877592904	654	654	0.275751581841705	0.937067322364731
bfduration	ko04621	bfduration	4.65960352734321e-05	654	462	0.298586539132688	0.982776265945305
bfduration	ko02030	bfduration	-0.000207961310435426	654	624	0.331410564249143	1
bfduration	ko00590	bfduration	-8.84479978273222e-05	654	630	0.358014048724962	1
bfduration	ko00260	bfduration	3.79919122330217e-05	654	654	0.364211678905381	1
bfduration	ko00020	bfduration	-4.79221060390563e-05	654	654	0.412775830790861	1
bfduration	ko00600	bfduration	0.000102233247396585	654	601	0.46388287636598	1
bfduration	ko00650	bfduration	-3.15981783839935e-05	654	654	0.474963164500615	1
bfduration	ko00983	bfduration	3.03016954526986e-05	654	651	0.514249396001235	1
bfduration	ko05150	bfduration	4.85373184821437e-05	654	654	0.535937907858756	1
bfduration	ko02040	bfduration	-0.000123249204917551	654	654	0.564429501791932	1
bfduration	ko00780	bfduration	-7.11320914829631e-05	654	654	0.606334902751168	1
bfduration	ko03070	bfduration	-2.85776221061325e-05	654	654	0.623542755618517	1
bfduration	ko00603	bfduration	7.08130832173911e-06	654	612	0.685866519702324	1
bfduration	ko00430	bfduration	-7.7997066691926e-05	654	592	0.698299444900178	1
bfduration	ko00500	bfduration	-2.1742686461154e-05	654	654	0.714009238288853	1
bfduration	ko04210	bfduration	7.80849438978101e-06	654	646	0.752909323475853	1
bfduration	ko00520	bfduration	-7.79170225527965e-06	654	654	0.794753369865016	1
bfduration	ko00670	bfduration	1.00815831466716e-05	654	654	0.825981002460576	1
bfduration	ko00510	bfduration	-9.38799578656134e-06	654	652	0.855079152561127	1
bfduration	ko00621	bfduration	-2.98507834279062e-05	654	148	0.877000606705666	1
bfduration	ko00281	bfduration	-1.37142265857216e-05	654	596	0.936408326183828	1
bfduration	ko04711	bfduration	1.27969979889782e-06	654	551	0.948089623704992	1
bfduration	ko02060	bfduration	3.35218496067606e-06	654	654	0.98388133121047	1
bfduration	ko00071	bfduration	-6.31794990082417e-07	654	654	0.991160882906588	1
