Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
caesar	ko00561	caesar1	0.0054985385167767	654	654	2.61357454217e-11	4.63205826550745e-10
caesar	ko00140	caesar1	-0.00374347221668358	654	587	1.17883437455675e-07	1.76365870063555e-06
caesar	ko00750	caesar1	-0.00520670704995465	654	654	1.24539501525591e-07	1.83935263791643e-06
caesar	ko02060	caesar1	0.0104563770572312	654	654	5.33046686154278e-07	7.39843111385215e-06
caesar	ko05150	caesar1	0.00423559588384184	654	654	1.63862320196483e-05	0.0001946076215117
caesar	ko00061	caesar1	0.00562582929212294	654	654	4.05610608532907e-05	0.000462637050524663
caesar	ko03050	caesar1	-0.00408213529229622	654	650	8.24558789029772e-05	0.000896124268832356
caesar	ko00564	caesar1	0.00269288670620559	654	654	0.000168269088444178	0.00177840357695131
caesar	ko00650	caesar1	0.00199693979630967	654	654	0.000306230738850455	0.00312192753235154
caesar	ko00260	caesar1	-0.00185852416526765	654	654	0.000389632457510726	0.00390310079175962
caesar	ko00051	caesar1	0.00628676077838135	654	654	0.000465157147958086	0.00454119520718403
caesar	ko00520	caesar1	0.0012771488649459	654	654	0.000655170454855566	0.00623765590077365
caesar	ko00380	caesar1	0.00170127576743704	654	654	0.00203567670157398	0.0180883309622303
caesar	ko00340	caesar1	-0.00358160654179682	654	654	0.00204121790372391	0.0180883309622303
caesar	ko01053	caesar1	0.00521950240482215	654	654	0.00234320623786865	0.019703456832297
caesar	ko00053	caesar1	0.0069962851723848	654	654	0.00260989387378254	0.0216301995870323
caesar	ko00640	caesar1	0.00115302675150216	654	654	0.00932274265595259	0.0671237471228587
caesar	ko00270	caesar1	-0.0014866107618199	654	654	0.0168044357777535	0.105785300633727
caesar	ko00361	caesar1	-0.0014090663289056	654	431	0.0182585423975701	0.113696436983788
caesar	ko00430	caesar1	-0.0055880276128457	654	592	0.025945887730517	0.149448313327778
