Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
studygroup	ko00562	studygroupplaceb	-0.0032048043251956	654	654	0.00100556546359075	0.0180883309622303
studygroup	ko03070	studygrouplactob DR20	0.00363054319370103	654	654	0.0052400736855545	0.0727296974187806
studygroup	ko05120	studygrouplactob DR20	-0.00144060270782628	654	654	0.0124108135669923	0.145815876265011
studygroup	ko00030	studygroupplaceb	-0.00251563674049559	654	654	0.0124677637257844	0.145815876265011
studygroup	ko00030	studygrouplactob DR20	-0.00252886854934252	654	654	0.0128068083684144	0.148275811461441
studygroup	ko02040	studygrouplactob DR20	0.0116345087080086	654	654	0.0137251216049585	0.155699565919598
studygroup	ko03070	studygroupplaceb	0.00316680362792482	654	654	0.0139262001493473	0.156516903141932
studygroup	ko02030	studygroupplaceb	0.0110618080448288	654	624	0.0182604067957869	0.198452722912703
studygroup	ko02030	studygrouplactob DR20	0.0107105719665485	654	624	0.0236109498254328	0.249539579806409
studygroup	ko05120	studygroupplaceb	-0.0012684514095587	654	654	0.0276695056514234	0.289532643121141
studygroup	ko02040	studygroupplaceb	0.00964856366674588	654	654	0.0406916271621778	0.375014035926631
studygroup	ko00260	studygrouplactob DR20	-0.00188655056469432	654	654	0.0416125089364948	0.380946744561671
studygroup	ko00750	studygrouplactob DR20	-0.00313350085607048	654	654	0.0700180893755377	0.579770693406329
studygroup	ko04621	studygrouplactob DR20	0.00179238662107161	654	462	0.0702066074046726	0.579770693406329
studygroup	ko00562	studygrouplactob DR20	-0.00176793603076719	654	654	0.0713656660331725	0.585147667403663
studygroup	ko00906	studygrouplactob DR20	-0.0011810866487045	654	637	0.0815633572723894	0.648006810881328
studygroup	ko00361	studygrouplactob DR20	0.00179490421854341	654	431	0.0895641767215984	0.690153388516932
studygroup	ko04621	studygroupplaceb	0.00159475639295787	654	462	0.103685802908916	0.775480708491108
studygroup	ko00780	studygrouplactob DR20	0.00488711517161003	654	654	0.108911669698833	0.796611069797175
studygroup	ko00780	studygroupplaceb	0.00453021769734962	654	654	0.133384516173932	0.914636682335536
studygroup	ko00750	studygroupplaceb	-0.00251741365412439	654	654	0.141406205148357	0.95542491689682
studygroup	ko00260	studygroupplaceb	-0.00133113825271571	654	654	0.146252858815536	0.973101839492769
studygroup	ko00906	studygroupplaceb	-0.000619473666924143	654	637	0.35584884589099	1
studygroup	ko00520	studygroupplaceb	-0.000554826543705795	654	654	0.39712585818376	1
studygroup	ko00361	studygroupplaceb	-0.000868050036594696	654	431	0.406574085035161	1
studygroup	ko00520	studygrouplactob DR20	-4.5734811275732e-05	654	654	0.944880889144216	1
