Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
time	ko04626	time	0.000588312693853336	654	654	1.26734465650985e-97	1.45998104429935e-94
time	ko03010	time	0.00170916382782848	654	654	1.01365497538183e-86	5.83865265819936e-84
time	ko00130	time	-0.00151316321080167	654	654	1.80937909941302e-83	6.94801574174601e-81
time	ko00785	time	-0.00219411660056452	654	654	5.01617203469745e-83	1.44465754599287e-80
time	ko00480	time	-0.000826307737869878	654	654	2.15799780328108e-82	4.97202693875961e-80
time	ko03020	time	0.000511597229823824	654	654	7.8595084230932e-81	1.50902561723389e-78
time	ko00790	time	-0.00148065330635915	654	654	3.9538143773714e-80	6.50684880390264e-78
time	ko00970	time	0.00121615450926988	654	654	3.51807353948025e-73	5.06602589685156e-71
time	ko00680	time	0.000353699150124441	654	654	7.60910689363576e-73	9.73965682385378e-71
time	ko00330	time	0.000484382478742416	654	654	1.31680100690065e-71	1.51695475994955e-69
time	ko00250	time	0.000795012134336679	654	654	6.80693872715871e-71	7.12872128516985e-69
time	ko00290	time	0.00156696187777099	654	654	6.45680296017309e-70	6.19853084176616e-68
time	ko00440	time	-0.000608725301038337	654	654	4.77359547921481e-61	4.23013999388882e-59
time	ko00450	time	0.000655614844569706	654	654	7.08023438840506e-61	5.82602143960188e-59
time	ko03018	time	0.000392353296131294	654	654	4.25401361259776e-54	3.26708245447508e-52
time	ko00770	time	0.000489329997539553	654	654	2.69489875478667e-47	1.9403271034464e-45
time	ko00930	time	0.000228876570196743	654	495	7.56244470703375e-47	5.12466841323699e-45
time	ko00100	time	0.000103576589514911	654	483	1.59749458459935e-46	1.02239653414359e-44
time	ko01040	time	-0.000726260231167718	654	654	1.76078774063167e-45	1.02282139201231e-43
time	ko00473	time	-0.00117592945752954	654	654	1.77573158335471e-45	1.02282139201231e-43
time	ko00052	time	-0.00045308699684841	654	654	7.74374587676867e-39	4.2479977381131e-37
time	ko03410	time	0.000446257421822159	654	654	1.20235826382054e-38	6.2959850905512e-37
time	ko00620	time	0.000570301279792896	654	654	1.68542408896603e-38	8.44177630647336e-37
time	ko04112	time	0.000354999488093031	654	654	2.00868744061752e-38	9.64169971496412e-37
time	ko03430	time	-0.000373834334020348	654	654	2.8508274958049e-38	1.3136613100669e-36
time	ko03060	time	-0.000520659547840882	654	654	5.47881402266258e-38	2.42753605927203e-36
time	ko02010	time	-0.000520349872883438	654	654	9.82603731300997e-37	4.19244258688425e-35
