	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
1	age_any_formula	ko02060	age_any_formula	-0.000139290944517057	654	654	0.0196782584607489	0.120581668865866
2	age_any_formula	ko05150	age_any_formula	-6.39158969678332e-05	654	654	0.0234988407255332	0.141731227831488
3	age_any_formula	ko00720	age_any_formula	2.54798877986357e-05	654	654	0.0458484715545456	0.244525181624243
4	Antibiotics_before_3_months	ko00562	Antibiotics_before_3_months1	-0.00346610350360023	654	654	4.1818505844182e-05	0.000472303124828408
5	Antibiotics_before_3_months	ko02010	Antibiotics_before_3_months1	0.00424987201026188	654	654	0.000184755944783897	0.00193489862173681
6	Antibiotics_before_3_months	ko00791	Antibiotics_before_3_months1	0.00445742502190755	654	653	0.000324228968244832	0.00327641904752672
7	Antibiotics_before_3_months	ko05100	Antibiotics_before_3_months1	0.00227135740109609	654	651	0.000474078648807124	0.00458940002878829
8	Antibiotics_before_3_months	ko00633	Antibiotics_before_3_months1	0.00888910504301646	654	654	0.00136740731101252	0.0126020257782914
9	Antibiotics_before_3_months	ko01053	Antibiotics_before_3_months1	0.00815196576570689	654	654	0.00168917087208605	0.0153222428712058
10	Antibiotics_before_3_months	ko00521	Antibiotics_before_3_months1	-0.00753218545492389	654	654	0.00208565217479761	0.0183410023310446
11	Antibiotics_before_3_months	ko00340	Antibiotics_before_3_months1	-0.00540539187499588	654	654	0.00217760643154178	0.0186801788294476
12	Antibiotics_before_3_months	ko00250	Antibiotics_before_3_months1	-0.00350253109499317	654	654	0.00245373681008415	0.020483368153746
13	Antibiotics_before_3_months	ko00750	Antibiotics_before_3_months1	-0.00440686231588088	654	654	0.00310597157819782	0.0255577089863135
14	Antibiotics_before_3_months	ko00130	Antibiotics_before_3_months1	0.00580406124982562	654	654	0.0033015119689318	0.0269740552355279
15	Antibiotics_before_3_months	ko00910	Antibiotics_before_3_months1	0.00294275418551486	654	654	0.00332650529933037	0.0269868598931591
16	Antibiotics_before_3_months	ko04112	Antibiotics_before_3_months1	-0.00221040848010238	654	654	0.00335061937337684	0.0269924022246862
17	Antibiotics_before_3_months	ko00310	Antibiotics_before_3_months1	0.00796846323459212	654	653	0.00420744281313943	0.0331984528817577
18	Antibiotics_before_3_months	ko02020	Antibiotics_before_3_months1	0.00503226102578435	654	654	0.0044429497568268	0.0348182185024794
19	Antibiotics_before_3_months	ko00380	Antibiotics_before_3_months1	0.00235587248927098	654	654	0.00472922973803371	0.0365642460282875
20	Antibiotics_before_3_months	ko05111	Antibiotics_before_3_months1	0.00189739002395607	654	649	0.00486344104816947	0.0373512272499415
21	Antibiotics_before_3_months	ko00623	Antibiotics_before_3_months1	0.00903553619047047	654	259	0.00513755171085584	0.0391950964960658
22	Antibiotics_before_3_months	ko00450	Antibiotics_before_3_months1	-0.00281514267746646	654	654	0.00735631149489749	0.0550290314423501
23	Antibiotics_before_3_months	ko01040	Antibiotics_before_3_months1	0.00366773895073102	654	654	0.00843954333727931	0.0621986352227065
24	Antibiotics_before_3_months	ko00362	Antibiotics_before_3_months1	0.00179703625962771	654	654	0.00847672372392788	0.0621986352227065
25	Antibiotics_before_3_months	ko00564	Antibiotics_before_3_months1	0.0028102756811746	654	654	0.00923213270070653	0.0668894142843643
26	Antibiotics_before_3_months	ko00052	Antibiotics_before_3_months1	0.00246857886550577	654	654	0.00972978080562178	0.0691895523955326
27	Antibiotics_before_3_months	ko03010	Antibiotics_before_3_months1	-0.00557392414357896	654	654	0.0103013180214012	0.072360477808867
28	Antibiotics_before_3_months	ko03020	Antibiotics_before_3_months1	-0.00174765155290013	654	654	0.0103768627332314	0.0724493689011063
