Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Antibiotics_before_3_months	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea	Antibiotics_before_3_months1	0.0389334469532061	646	96	0.000478788109934668	0.00506960896514818
Antibiotics_before_3_months	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea|s__Pantoea_unclassified	Antibiotics_before_3_months1	0.0389334469532061	646	96	0.000478788109934668	0.00506960896514818
Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	Antibiotics_before_3_months1	0.025827663084565	646	203	0.00267031352717715	0.0267969801561132
Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA	Antibiotics_before_3_months1	-0.0894027342258464	646	230	0.00310690444267124	0.0304962089200949
Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525	Antibiotics_before_3_months1	-0.0894027342258464	646	230	0.00310690444267124	0.0304962089200949
Antibiotics_before_3_months	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	Antibiotics_before_3_months1	-0.113423050729754	646	468	0.00386634637916445	0.0374820801757887
Antibiotics_before_3_months	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	Antibiotics_before_3_months1	-0.113423050729754	646	468	0.00386634637916445	0.0374820801757887
Antibiotics_before_3_months	k__Eukaryota	Antibiotics_before_3_months1	0.0192768109202844	646	70	0.00525260994974575	0.0499952965216709
Antibiotics_before_3_months	k__Eukaryota|p__Ascomycota	Antibiotics_before_3_months1	0.0192768109202844	646	70	0.00525260994974575	0.0499952965216709
Antibiotics_before_3_months	k__Eukaryota|p__Ascomycota|c__Saccharomycetes	Antibiotics_before_3_months1	0.0192768109202844	646	70	0.00525260994974575	0.0499952965216709
