Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
Any_smoking_during_pregnancy	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca	Any_smoking_during_pregnancy1	0.054552282691432	646	218	6.80221153182247e-05	0.00076034684773859
Any_smoking_during_pregnancy	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca|t__Klebsiella_oxytoca_unclassified	Any_smoking_during_pregnancy1	0.054552282691432	646	218	6.80221153182247e-05	0.00076034684773859
Any_smoking_during_pregnancy	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea	Any_smoking_during_pregnancy1	0.0705797811491253	646	96	0.000344457472784707	0.00369263113316302
Any_smoking_during_pregnancy	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea|s__Pantoea_unclassified	Any_smoking_during_pregnancy1	0.0705797811491253	646	96	0.000344457472784707	0.00369263113316302
Any_smoking_during_pregnancy	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans	Any_smoking_during_pregnancy1	0.031360339597261	646	67	0.000619483616658167	0.00650768575225185
Any_smoking_during_pregnancy	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans|t__GCF_000162475	Any_smoking_during_pregnancy1	0.031360339597261	646	67	0.000619483616658167	0.00650768575225185
Any_smoking_during_pregnancy	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	Any_smoking_during_pregnancy1	0.177360989824981	646	234	0.00929500358317267	0.0846249456659286
Any_smoking_during_pregnancy	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035	Any_smoking_during_pregnancy1	0.177360989824981	646	234	0.00929500358317267	0.0846249456659286
Any_smoking_during_pregnancy	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	Any_smoking_during_pregnancy1	0.0750450723287261	646	65	0.0108228404620598	0.0968505466989449
Any_smoking_during_pregnancy	k__Bacteria|p__Firmicutes|c__Erysipelotrichia	Any_smoking_during_pregnancy1	0.163452440445594	646	392	0.0114102991730414	0.101242230798088
