Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
bfduration	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	bfduration	-0.00265794776636011	646	106	0.0197526504205143	0.164852633883205
bfduration	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	bfduration	-0.00252095405760057	646	131	0.0332227979060884	0.260231441952678
bfduration	k__Viruses	bfduration	-0.00244230108756358	646	208	0.0492919943062665	0.370397497885127
bfduration	k__Viruses|p__Viruses_noname|c__Viruses_noname	bfduration	-0.00244230108756358	646	208	0.0492919943062665	0.370397497885127
bfduration	k__Viruses|p__Viruses_noname	bfduration	-0.00227262328386802	646	208	0.0710429552526973	0.50485502816453
bfduration	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	bfduration	0.000737610683301459	646	203	0.102679663810333	0.681853750588278
bfduration	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	bfduration	-0.00165099679425535	646	79	0.116115921886953	0.745848897028466
bfduration	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__Klebsiella_pneumoniae_unclassified	bfduration	-0.00164027523250036	646	79	0.116774048935416	0.747315799333355
bfduration	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	bfduration	0.00207801740772171	646	645	0.121445917512505	0.77062954930662
bfduration	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis	bfduration	0.00274312015308781	646	524	0.130783336243891	0.808642636106419
bfduration	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__Streptococcus_parasanguinis_unclassified	bfduration	0.00274312015308781	646	524	0.130783336243891	0.808642636106419
bfduration	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	bfduration	-0.00211599260880719	646	412	0.158614378425544	0.908655093851455
bfduration	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	bfduration	0.00104060411290676	646	258	0.174986912175895	0.986775388051145
bfduration	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	bfduration	-0.000946085950510053	646	314	0.176178250603825	0.989938971639738
bfduration	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella	bfduration	-0.000946085950510053	646	314	0.176178250603825	0.989938971639738
bfduration	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	bfduration	0.00157160450376845	646	164	0.187222149382348	1
