	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
1	age_any_formula	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified	age_any_formula	0.00132960948795032	646	193	0.0167077278571431	0.143385172675646
2	Antibiotics_before_3_months	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea	Antibiotics_before_3_months1	0.0389334469532061	646	96	0.000478788109934668	0.00506960896514818
3	Antibiotics_before_3_months	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Pantoea|s__Pantoea_unclassified	Antibiotics_before_3_months1	0.0389334469532061	646	96	0.000478788109934668	0.00506960896514818
4	Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar	Antibiotics_before_3_months1	0.025827663084565	646	203	0.00267031352717715	0.0267969801561132
5	Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA	Antibiotics_before_3_months1	-0.0894027342258464	646	230	0.00310690444267124	0.0304962089200949
6	Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525	Antibiotics_before_3_months1	-0.0894027342258464	646	230	0.00310690444267124	0.0304962089200949
7	Antibiotics_before_3_months	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	Antibiotics_before_3_months1	-0.113423050729754	646	468	0.00386634637916445	0.0374820801757887
8	Antibiotics_before_3_months	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	Antibiotics_before_3_months1	-0.113423050729754	646	468	0.00386634637916445	0.0374820801757887
9	Antibiotics_before_3_months	k__Eukaryota	Antibiotics_before_3_months1	0.0192768109202844	646	70	0.00525260994974575	0.0499952965216709
10	Antibiotics_before_3_months	k__Eukaryota|p__Ascomycota	Antibiotics_before_3_months1	0.0192768109202844	646	70	0.00525260994974575	0.0499952965216709
11	Antibiotics_before_3_months	k__Eukaryota|p__Ascomycota|c__Saccharomycetes	Antibiotics_before_3_months1	0.0192768109202844	646	70	0.00525260994974575	0.0499952965216709
12	Antibiotics_before_3_months	k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	Antibiotics_before_3_months1	0.0192768109202844	646	70	0.00525260994974575	0.0499952965216709
13	Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar|t__GCF_000160015	Antibiotics_before_3_months1	0.0238733530427581	646	203	0.0055029932497521	0.0514431601115219
14	Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	Antibiotics_before_3_months1	-0.0782672689357783	646	412	0.00594691480087921	0.0554280694052273
15	Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	Antibiotics_before_3_months1	-0.0613982010428761	646	212	0.00705145479925117	0.0653351608390794
16	Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__GCF_000332875	Antibiotics_before_3_months1	-0.0613982010428761	646	212	0.00705145479925117	0.0653351608390794
17	Antibiotics_before_3_months	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	Antibiotics_before_3_months1	-0.0734546383753975	646	172	0.00948821332029981	0.0858861038589674
18	Antibiotics_before_3_months	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__Bacteroides_thetaiotaomicron_unclassified	Antibiotics_before_3_months1	-0.0734546383753975	646	172	0.00948821332029981	0.0858861038589674
19	Antibiotics_before_3_months	k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	Antibiotics_before_3_months1	0.0162186223192131	646	66	0.0101617212792145	0.0917182946494617
20	Antibiotics_before_3_months	k__Bacteria|p__Bacteroidetes	Antibiotics_before_3_months1	-0.0889111632998856	646	489	0.0103003518418088	0.0927031665762794
21	Antibiotics_before_3_months	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	Antibiotics_before_3_months1	-0.0887961849568355	646	489	0.0103716442323553	0.0930780986680797
22	Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae	Antibiotics_before_3_months1	0.0550730938928091	646	487	0.0115026563948663	0.101774207707817
23	Antibiotics_before_3_months	k__Bacteria|p__Bacteroidetes|c__Bacteroidia	Antibiotics_before_3_months1	-0.0859670106435862	646	489	0.0127256054897974	0.11165119230015
24	Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae|t__Streptococcus_mitis_oralis_pneumoniae_unclassified	Antibiotics_before_3_months1	0.0537779191398821	646	487	0.0132313675724429	0.115443682069564
25	Antibiotics_before_3_months	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	Antibiotics_before_3_months1	-0.0685546336344843	646	344	0.0164524423213064	0.141581154332119
26	Antibiotics_before_3_months	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	Antibiotics_before_3_months1	0.0578125719945947	646	98	0.0174299620280386	0.148367237750866
