ID	Description
M00001	M00001: Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00002	M00002: Glycolysis, core module involving three-carbon compounds
M00003	M00003: Gluconeogenesis, oxaloacetate => fructose-6P
M00004	M00004: Pentose phosphate pathway (Pentose phosphate cycle)
M00006	M00006: Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
M00007	M00007: Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00008	M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00009	M00009: Citrate cycle (TCA cycle, Krebs cycle)
M00011	M00011: Citrate cycle, second carbon oxidation
M00012	M00012: Glyoxylate cycle
M00013	M00013: Malonate semialdehyde pathway, propanoyl-CoA => Acetyl-CoA
M00014	M00014: Glucuronate pathway (uronate pathway)
M00016	M00016: Lysine biosynthesis, aspartate => lysine
M00017	M00017: Methionine biosynthesis, apartate => homoserine => methionine
M00018	M00018: Threonine biosynthesis, apartate => homoserine => threonine
M00019	M00019: Leucine biosynthesis, pyruvate => 2-oxoisovalerate => leucine
M00022	M00022: Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00025	M00025: Tyrosine biosynthesis, chorismate => tyrosine
M00026	M00026: Histidine biosynthesis, PRPP => histidine
M00028	M00028: Ornithine biosynthesis, glutamate => ornithine
M00029	M00029: Urea cycle
M00030	
M00031	M00031: Lysine biosynthesis, archaea, 2-aminoadipate => lysine
M00032	M00032: Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00033	M00033: Ectoine biosynthesis
M00034	M00034: Methionine salvage pathway
M00035	M00035: Methionine degradation
M00036	M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA
M00037	
M00038	M00038: Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate
M00039	
M00042	M00042: Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline
M00044	M00044: Tyrosine degradation, tyrosine => homogentisate
M00045	M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate
M00046	M00046: beta-Alanine biosynthesis, cytosine / uracil => beta-alanine
M00048	M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP
M00049	M00049: Adenine nucleotide biosynthesis, IMP => ADP/dADP,ATP/dATP
M00050	M00050: Guanine nucleotide biosynthesis, IMP => GDP/dGDP,GTP/dGTP
M00051	M00051: Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
M00053	M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
M00055	M00055: N-glycan precursor biosynthesis
M00056	
M00057	
M00059	
